 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
1	5438.131	16417.481	9164.010	22626.403	5274.822	5101.782	9095.636	14107.216	9076.964	5979.078	816.811	931.470	747.385	2263.718	3511.814	4760.436	18020.861	977.228	1911.327	5321.369	5617.483	5599.337	2246.625	3376.643	10148.075	9661.039	11070.341	4194.769	1603.906	5544.638	12058.614	513.597	4294.701	4110.616	7028.625	8276.984	2625.840	4715.992	3498.402	6352.056	796.322
2	5718.729	14144.033	8831.868	23229.675	4752.809	5033.144	8984.659	10949.371	9121.144	5574.617	983.013	743.966	710.568	2043.606	3883.666	5186.198	17640.068	1014.308	2214.542	5256.413	5439.709	5058.916	2058.069	2682.380	9497.730	8890.512	9839.602	3456.589	1911.853	5352.926	13184.687	478.095	4874.043	4355.975	6858.215	8658.828	2884.874	4781.474	3982.283	6160.594	764.396
3	4724.408	14319.702	8917.336	22791.027	5198.558	4755.176	8574.675	10665.617	8711.161	5655.089	806.029	707.149	658.235	1790.620	3972.026	5448.913	17383.401	1037.713	2327.096	6177.101	5476.000	4231.323	1943.674	2225.850	10112.573	9400.954	8894.194	4030.671	1540.265	5403.681	12933.017	457.057	4587.396	3663.290	6694.379	7654.777	3093.152	4618.690	3374.276	6024.519	758.262
4	4469.845	13991.505	8946.264	21922.935	5128.606	4475.630	8282.769	10514.404	8275.932	5811.824	793.932	751.329	628.518	2057.280	3519.967	4650.774	17600.096	908.065	1775.367	6866.104	5007.373	4780.422	1725.928	2522.489	9536.124	8158.906	7693.434	3401.363	1845.057	5877.305	13151.289	497.292	4530.593	3578.611	8054.241	7852.536	2738.132	4845.904	3567.566	5916.300	743.161
5	3959.666	13295.664	8888.934	21722.283	4963.981	4801.986	8360.611	11487.162	7740.245	5945.417	925.684	1042.184	728.450	1969.446	3578.874	4287.075	16533.192	1025.090	2561.147	6644.150	4665.238	4900.866	2065.696	2661.868	9069.864	8355.351	7424.145	3717.200	1648.349	5503.087	12398.382	432.863	6768.276	5941.472	7464.643	8480.003	2792.568	4353.345	3450.014	5962.935	714.516
6	4150.852	13761.662	9421.992	22515.163	5235.112	5293.756	8770.594	10477.061	7572.727	6363.552	846.265	728.976	757.378	1815.077	3520.755	4069.591	17164.866	1076.371	2221.642	5562.520	4587.659	5711.892	2548.787	3301.431	9007.275	8994.126	8113.674	3650.404	1666.231	6267.565	13341.686	454.690	4837.489	4173.205	6999.434	8038.988	2860.417	4546.371	3567.040	5999.853	739.875
7	3948.884	13107.635	9776.487	25700.358	5353.715	4947.414	8310.645	9873.263	8601.236	6289.393	911.220	881.767	663.232	1548.943	3069.221	4033.826	16931.604	905.698	2080.422	4705.210	4694.428	6042.456	2440.703	3124.973	9393.590	9541.121	7853.062	3993.854	1422.976	6229.170	12803.369	576.975	5787.630	3946.781	6664.137	7525.128	2856.209	4724.671	3121.817	6009.826	785.641
8	4781.211	14904.303	9041.462	24270.281	5286.919	4888.769	10654.572	10786.850	9326.531	6507.402	941.200	853.102	761.586	1914.746	3262.511	4901.129	16353.578	1240.469	2663.972	5301.120	4678.913	5251.154	2971.656	2741.287	9587.142	11697.544	8268.568	4104.831	1450.589	5249.839	12415.738	601.432	5099.941	3983.860	6297.545	8121.300	2690.532	4937.420	3331.674	6208.274	778.810
9	5781.318	14168.490	9059.082	22798.390	5088.633	5417.619	8969.406	11028.527	8158.380	5929.112	815.233	1142.641	713.724	2098.305	3310.899	3743.235	16427.738	1031.927	3141.541	5494.146	4286.286	5073.643	2328.148	2663.446	9998.441	10381.600	7769.435	3963.874	1525.801	5545.164	12397.067	426.288	5287.708	4429.872	6227.856	7235.063	2761.011	4631.839	3780.841	6026.455	739.140
10	7083.587	16589.732	9507.723	23041.909	5076.799	5285.867	10978.298	16178.960	9775.435	6066.913	983.276	955.664	540.684	1876.877	3243.313	4829.336	17021.806	1266.504	2731.031	4623.424	4598.178	5094.418	1822.967	2622.684	10220.920	13286.723	8087.113	4393.844	1577.345	5826.550	13728.790	613.266	5121.242	4660.767	6509.505	7386.539	2776.000	4369.124	3631.732	6512.432	832.412
11	6003.272	15352.945	9861.692	23177.342	4986.071	5414.726	9652.624	12186.158	8939.163	6237.323	749.752	985.380	863.621	2079.897	3505.766	4586.344	17523.832	1101.880	2508.551	4160.319	4726.249	4942.417	2020.989	2694.740	9670.243	10504.674	7900.399	4066.699	1628.626	5609.856	12730.787	602.484	5177.783	3630.417	6441.394	8042.670	2853.053	4860.631	3352.449	6188.031	780.251
12	5109.934	15026.588	9412.262	23672.005	5144.384	5445.495	9408.054	10591.983	8381.386	5960.669	779.731	855.732	604.061	2153.793	3185.721	4164.527	16221.037	933.836	2789.149	3734.031	4363.075	5714.785	2480.676	3189.929	9534.810	9312.593	7424.408	3934.158	1675.173	5274.033	13617.024	436.807	5365.023	3781.104	5786.315	7368.130	2692.110	4461.955	3471.841	5986.111	764.113
13	4701.529	15023.433	10006.330	23813.750	5141.229	4926.638	10235.121	10103.895	8660.143	5797.886	774.472	832.853	615.633	1947.881	2734.976	3766.377	17318.972	1066.641	2230.057	4091.682	4791.730	5698.480	2685.273	3357.183	10088.116	8736.670	7667.926	3572.562	1660.972	5449.176	12875.162	478.358	4713.889	3816.869	6165.267	7830.183	2407.568	4470.108	3528.908	5994.459	780.299
14	5216.703	15886.791	9713.109	24085.407	5432.346	5291.652	10024.212	11098.216	8635.949	6277.559	842.846	934.099	615.633	1872.407	3216.226	3928.109	18120.004	1077.686	2623.736	4049.605	4350.978	5729.774	2218.486	2865.150	9319.430	9132.716	7524.865	3568.618	1538.424	5808.405	12824.407	497.292	5558.049	3730.349	5976.711	8505.512	2652.401	4006.740	3631.732	6112.368	798.844
15	4841.696	14125.098	9732.306	23919.205	5706.106	5151.485	8980.188	11514.248	7849.381	5736.612	766.319	1021.671	595.383	2251.621	3130.232	3429.239	17810.215	986.432	4600.545	4250.258	4647.618	4774.374	1834.275	2584.026	9271.831	9109.836	7280.821	3633.310	1419.295	6035.881	12443.088	531.216	4815.924	3918.379	6068.228	7827.028	2484.620	4775.689	3373.225	5980.177	772.678
16	5311.902	14514.043	9971.354	24859.353	5330.836	5592.500	9183.207	11439.036	7763.124	5959.092	932.785	928.051	622.996	2201.919	3258.829	3685.643	17788.914	1140.801	8381.649	4411.989	4959.774	4972.922	2159.053	2662.394	8650.413	9592.665	7435.190	3529.171	1791.935	6006.691	13499.473	430.233	4928.742	3463.426	6537.381	7768.909	2896.445	4293.123	3131.810	6204.815	793.413
17	5086.003	14158.497	10084.960	24174.557	5137.547	5109.408	9730.466	9998.441	7626.112	5734.771	975.124	898.597	907.539	2681.328	3586.500	3207.811	16905.832	886.763	8377.704	4596.863	5054.972	5054.709	2000.214	2800.195	7898.295	8235.696	7224.544	3432.921	1468.735	6204.450	12393.385	497.818	5007.110	4077.218	6279.399	7755.760	2506.974	4673.390	3684.854	6054.243	754.817
18	6392.743	16032.744	9620.278	23617.042	4910.071	4646.040	14022.011	11734.361	8359.033	5544.375	923.580	813.129	581.708	2894.604	3441.073	3721.671	17964.847	939.622	6748.553	4394.633	4972.659	5234.060	2047.550	2919.587	8908.132	13644.111	8647.783	4505.610	1687.270	5886.773	12837.819	536.213	5819.976	4060.650	6588.662	7699.746	2538.005	4499.298	3223.853	6501.535	820.070
19	14698.391	20711.394	10167.273	25296.423	5298.227	5210.392	15476.282	20637.497	8957.309	6515.554	663.495	808.396	856.521	2874.880	3420.561	3846.323	19021.757	990.903	6717.258	4348.086	4524.807	5569.358	2185.877	2783.890	11131.615	17273.476	9222.128	4672.075	1618.106	6397.214	12521.193	604.587	4826.443	3649.352	5970.400	7658.984	2999.006	4205.814	3625.421	7383.504	1004.108
20	14318.913	19547.977	9309.700	25403.455	5099.941	5202.766	11868.217	19579.008	8867.107	6464.536	868.092	929.629	606.428	2245.836	3470.527	3846.586	17754.727	1102.406	4616.587	4270.770	4952.673	5690.328	2503.818	3253.569	9840.391	13264.633	8341.939	4419.353	1568.929	5428.138	13086.859	475.991	5139.125	3260.407	6436.923	7724.466	2557.728	4913.752	3380.588	6964.431	936.662
21	9153.228	16028.536	10315.856	24422.282	5794.993	5259.043	9090.113	14661.837	8249.634	5625.109	779.468	973.809	665.598	2045.709	2635.044	2857.261	16887.687	1150.531	5423.405	4288.653	4638.151	5986.967	2488.039	3304.324	9018.320	9403.057	7947.998	4394.633	1413.246	5139.125	13178.113	501.763	4599.493	3531.012	6541.852	8185.467	2669.494	4451.699	3383.744	6335.495	812.114
22	9505.356	16760.668	9587.405	24725.760	5256.150	5379.487	10481.006	14165.597	9973.721	5852.585	845.213	906.750	682.429	2296.328	3506.292	4442.758	15829.462	1019.830	3399.522	4099.834	5304.275	5523.336	2162.472	3088.156	9595.558	11083.753	9764.916	4280.763	1704.889	6127.135	13022.167	533.583	4418.827	3860.261	5935.687	6953.676	2592.705	4523.755	3741.657	6485.480	821.001
23	8021.106	16068.509	9676.555	24395.985	5158.585	5092.578	10888.623	14753.617	9080.383	6148.962	965.131	899.123	663.758	2322.889	3446.333	3924.427	15858.652	1109.506	2841.745	4192.665	4895.081	5124.398	2111.454	2893.552	8688.545	9666.562	8867.633	4297.331	1561.303	5484.678	13460.552	361.332	4246.050	3624.632	5961.458	7787.055	2441.755	4546.371	3369.806	6279.453	812.475
24	13698.810	17029.169	10152.283	23583.381	5401.051	5215.652	13110.527	21265.226	9917.969	5907.285	674.014	883.871	692.422	2406.253	3511.551	4091.945	16079.291	1143.430	2797.565	4294.438	4940.576	5345.037	2478.046	2910.645	10084.435	13754.825	10121.514	4956.618	1754.329	5646.673	12625.595	641.404	6940.001	4545.319	6236.008	8549.692	2646.089	4551.368	3733.242	7033.783	905.304
25	9978.717	16829.306	9420.677	23856.879	5141.229	5463.114	10581.464	16788.281	8941.004	6623.375	959.608	915.954	669.806	2037.031	3093.678	3876.302	14804.635	1228.635	2832.015	4572.669	4648.670	4926.112	1936.310	2585.604	10278.513	10783.431	9943.478	4060.650	1257.563	5720.833	13015.855	405.513	4787.786	3497.087	6645.991	8328.790	2339.193	4774.900	3896.815	6473.012	831.147
26	7018.895	14724.426	10469.435	24918.260	5533.855	5139.125	10034.206	13081.863	8006.116	7729.988	1065.063	873.614	671.910	1976.020	2992.958	3390.055	15095.752	1075.582	2637.148	5412.622	4391.214	5341.881	2213.490	2749.966	8980.451	9424.359	9222.128	3791.360	1634.937	5595.129	12464.652	463.631	3974.656	3982.020	6214.707	7855.429	2470.945	4614.746	3696.951	6177.681	788.102
27	5590.133	15563.590	10008.171	24471.459	5149.644	5901.499	10016.849	11129.248	8611.755	7727.359	1033.505	874.403	735.551	2345.505	3197.555	3752.439	16327.543	1152.372	3630.943	5548.845	4900.077	5932.531	1857.943	2615.584	9443.030	9434.089	8576.779	4209.496	1609.165	6289.393	12993.502	471.520	4677.335	3989.909	8865.529	9032.258	3131.021	5651.670	4613.168	6437.497	782.333
28	4558.994	15120.209	9936.378	24522.740	5199.873	5557.786	9985.292	11761.185	9192.149	5911.493	854.417	801.032	798.666	2123.551	3450.014	4094.048	17113.585	1020.356	2715.778	5006.584	5348.193	5162.004	2041.765	2921.954	9261.838	9833.816	8396.639	4114.561	1579.975	5702.162	12114.365	451.271	3962.559	3734.031	5951.202	7489.363	2550.102	4170.312	3782.682	6110.075	790.167
29	4827.232	15362.675	10153.072	24149.311	5633.787	5625.898	11330.952	10722.683	8273.565	6506.876	732.921	1227.320	741.862	2706.311	3785.312	3857.631	16269.951	1006.681	2220.853	4488.253	4563.728	5820.239	2334.723	3075.533	9085.905	10360.825	9469.328	4549.527	1806.136	5934.372	13572.844	554.359	3931.528	3408.201	5674.812	7134.079	1911.064	3922.849	3709.311	6165.193	788.873
30	5271.929	18057.152	10723.472	26334.399	6304.908	4728.352	13718.534	11570.263	8033.992	9473.799	1291.750	709.253	706.360	3534.430	4532.697	3783.734	20448.941	1085.312	3139.437	6686.753	5468.637	4478.260	1442.437	3826.599	8896.561	10484.425	7618.486	4760.173	1616.266	6086.373	11216.031	458.634	3795.831	3822.655	6158.429	7893.298	2711.834	4501.928	3815.817	6645.850	879.224
31	6732.511	18905.521	8985.711	24573.232	5928.849	5913.070	14027.270	12260.581	8077.383	11597.875	1507.655	1013.519	405.250	2768.637	4237.635	3877.354	16689.927	951.982	3601.490	8118.145	4848.271	7095.947	2592.967	4674.442	8231.488	10525.975	8364.292	5702.162	1333.564	6160.533	10269.045	416.821	5848.378	3817.658	6028.518	7582.984	2556.939	4970.556	4514.814	6813.050	818.719
32	16537.926	18720.384	29970.339	30716.672	16067.720	26610.263	17972.736	24885.124	9358.877	12666.620	1704.100	1013.519	802.347	2751.806	4203.710	4286.023	21642.337	875.192	3249.888	8727.203	5461.536	6596.025	2984.279	3622.791	9878.259	20522.312	11140.293	6045.086	1474.783	6753.812	12673.983	588.546	4451.173	5412.885	5775.007	7371.549	2640.830	5043.401	4682.331	9637.992	1351.523
33	25342.970	22233.776	45939.179	36999.490	19482.758	35184.412	19804.381	27979.855	10666.932	12780.753	1526.853	980.121	647.453	3474.471	4339.144	4702.581	20971.216	1140.275	2946.148	8674.344	5697.428	6278.084	4345.719	4273.663	11284.405	19525.887	11848.494	6649.673	1321.204	6330.154	13051.883	491.507	4683.646	6567.887	8152.069	10065.237	2642.144	6038.511	4345.719	11266.934	1744.052
34	21906.105	21295.995	48659.165	36692.068	18497.115	33500.035	16810.634	25357.434	9482.214	10357.143	1416.402	992.218	606.691	2872.514	3799.776	4337.041	20091.027	1068.218	3568.092	7482.263	5674.286	6088.477	4645.777	3467.634	9887.727	14865.646	11581.045	6052.186	1516.597	6722.781	13337.478	430.759	5208.025	4613.168	7701.324	8753.238	2854.894	5046.030	3974.919	10543.952	1714.085
35	14050.149	16491.115	46531.669	35994.386	18211.257	31124.025	12768.656	21078.248	8604.655	7729.988	953.823	749.226	604.850	2989.539	3836.330	3603.331	19684.989	1108.980	6805.882	6116.090	5261.147	6009.058	3561.517	4449.595	9289.188	11348.572	9975.824	4421.720	1483.987	6648.621	12931.702	624.837	5768.695	7502.512	7230.329	7854.377	2643.196	4422.246	3897.078	9599.010	1576.199
36	9000.174	16390.658	45568.116	34708.947	14872.746	26143.739	12529.608	16259.957	8532.336	6400.895	954.612	926.736	719.509	2996.902	3993.328	4515.603	18808.219	1132.122	12952.740	5543.586	4856.686	5088.896	3731.138	4058.283	9181.629	10110.469	9760.182	4665.501	1656.501	5996.172	12376.292	398.149	5553.579	6496.357	9165.588	9442.241	2631.099	4818.028	3703.788	9144.644	1467.592
37	7881.990	17269.269	44875.957	34246.894	12440.195	22322.137	14114.842	15649.321	10379.496	7117.512	952.245	1061.644	597.750	2435.443	4916.382	6738.034	17082.554	1282.809	11760.396	6212.077	5623.268	6143.702	3546.264	3562.043	11409.583	13965.996	10429.199	5594.078	1422.713	6386.432	12408.901	478.358	5410.256	4461.429	7469.903	7551.952	2721.827	4343.878	3595.967	9124.685	1418.828
38	5743.712	15930.445	41522.456	33281.500	11332.530	20407.916	12372.610	13437.673	9760.182	7783.373	1170.780	908.591	597.750	2354.183	4796.727	5833.388	16873.486	793.932	7986.655	5404.207	5567.517	5416.567	3400.048	3195.977	10052.088	10827.612	9668.666	4945.836	1488.721	5852.848	12826.248	387.893	5771.588	4055.391	5846.011	7453.072	2700.263	5542.271	3894.185	8389.356	1323.353
39	5811.561	15437.887	37523.606	32268.770	9261.049	14568.217	10874.685	11795.635	9719.157	7756.549	1058.225	812.077	595.909	2064.644	4407.256	5342.933	17713.965	1101.617	9054.611	5891.506	5284.289	5400.262	2704.470	3877.354	10255.108	10608.025	8723.784	4790.678	1467.420	6555.264	12446.770	561.196	4580.033	3725.353	6701.743	7711.317	2577.452	4386.218	3284.864	7915.422	1215.296
40	5204.869	17013.391	33095.312	30788.728	7319.479	11613.391	12810.469	14411.482	9692.597	6800.623	830.486	831.538	773.157	2023.882	3476.575	5361.342	15830.514	1061.907	7565.890	4772.796	5129.132	5178.572	3009.788	3487.357	9464.331	11376.974	8823.716	4487.464	1490.299	5734.508	12854.124	469.154	4653.404	3491.039	6636.787	7557.738	2561.936	4182.409	3639.359	7577.090	1136.342
41	5369.231	15639.065	29494.611	29452.797	10900.194	19686.041	12252.429	13141.296	9918.232	6496.883	837.849	864.147	701.889	1689.374	4097.993	5349.508	16682.301	982.224	6394.584	5009.739	5786.052	5249.313	2715.515	3258.829	10566.211	10784.483	8436.349	4701.003	1476.624	5631.157	13715.641	353.969	4321.788	3578.874	5939.105	6890.561	2665.550	4206.077	3507.081	7660.117	1106.230
42	5955.673	15273.788	24029.919	27303.737	10437.878	18096.073	10835.764	13431.361	10474.432	6040.878	877.033	928.314	640.615	1936.047	3937.313	5391.584	16562.909	920.162	7224.018	4894.555	4797.779	4839.329	2656.345	3418.983	10403.690	11345.679	8852.906	4781.474	1243.888	5619.060	12155.127	415.769	3675.913	3698.529	5640.099	7104.363	2603.224	4224.486	4045.923	7351.657	993.361
43	4940.313	14467.496	20510.215	26027.766	10141.764	17622.186	9947.160	11835.608	9564.263	5762.647	969.602	935.151	690.581	1889.763	4160.319	5393.688	18266.746	1173.673	5418.408	5509.398	5081.007	4614.220	2355.761	3750.336	9650.257	9149.283	9018.846	4145.855	1205.756	5700.584	12548.280	406.039	4353.871	3670.653	5643.254	7489.626	2340.245	4414.882	3614.639	7035.388	930.758
44	4780.948	14259.217	31038.557	30558.884	8759.812	13022.693	9924.018	10930.962	9281.035	5895.714	998.529	945.670	685.059	1835.064	4005.688	5455.751	18288.573	990.903	3763.748	4868.520	5150.170	4433.817	2312.632	3085.789	9433.826	9744.140	9121.670	3689.062	1546.576	6006.954	12336.845	391.049	4077.744	5107.304	7442.027	7546.955	2670.020	3923.112	3369.280	7222.521	1094.067
45	4359.920	13828.196	29695.000	29525.116	8646.205	14774.392	9882.993	10418.417	8937.585	5995.909	1013.256	924.895	756.589	1704.889	3468.423	4694.691	17362.100	1020.093	3868.939	5100.993	4882.721	4876.409	2138.804	2793.883	8933.378	9443.030	8646.468	3704.314	1439.281	5321.369	11915.027	570.663	4202.659	4130.077	7085.954	8346.410	2996.639	3974.656	3600.701	7050.796	1058.880
46	4324.944	13506.573	28015.094	28382.738	8992.811	14536.134	9483.529	10877.578	8510.246	8809.252	1121.866	898.597	782.098	1817.444	3659.871	4569.513	16918.981	1114.503	3480.520	7273.195	4806.983	4622.635	1997.321	2693.951	8040.040	8482.107	8254.630	4158.478	1569.981	5172.786	12023.375	464.157	4180.831	4417.775	6552.634	7519.080	2533.797	3779.526	3966.767	6982.368	1012.104
47	4408.045	14209.251	25106.289	28876.611	7115.934	11462.705	9509.301	9693.386	8899.980	8779.535	1110.295	1010.363	719.772	1687.007	3342.456	4389.636	16900.310	1188.926	4304.957	6094.000	4083.266	4952.673	2042.554	2582.974	7884.883	8370.867	8734.040	3392.422	1487.406	5920.697	12836.767	379.215	3664.605	3946.518	7267.146	8890.775	2764.429	4192.665	3326.677	6808.445	976.573
48	4753.335	14588.203	22399.189	27323.724	7038.881	9307.070	9685.759	10406.583	8774.276	6941.053	1110.558	743.966	596.698	1674.647	3763.748	4674.442	16937.127	932.785	3308.795	5878.357	4591.867	4643.673	2015.204	2647.667	8284.347	9116.148	9699.960	4054.602	1524.223	5723.463	11551.065	481.777	4175.835	5063.387	6612.856	7255.838	2527.749	4398.052	3293.542	6628.217	913.312
49	4625.002	15610.927	27010.253	28988.640	7944.579	9904.557	9312.593	13070.555	8163.377	6333.836	936.729	1039.028	647.453	1963.134	3924.953	4805.931	16963.688	989.062	3811.084	5006.847	4245.261	4778.581	2229.268	2812.292	8094.477	9369.396	8101.314	3193.347	1441.122	5706.369	13205.989	363.173	3954.933	3954.407	6320.424	7637.157	2324.466	4396.211	3334.567	6833.717	1015.899
50	4659.189	16308.871	30111.295	31125.077	8057.923	12003.651	10309.281	12303.973	8138.394	6052.975	861.254	904.120	689.004	1739.339	3304.324	3964.137	16400.125	1024.827	3022.674	6206.817	4183.461	4823.551	2880.140	2839.641	8090.532	10043.673	8311.171	3729.823	1273.868	5290.337	12707.382	477.306	4376.750	3703.525	7137.761	7602.181	2540.109	4243.683	4393.844	7072.718	1092.171
51	5125.713	16127.416	30271.975	30474.468	8240.956	13110.002	10965.149	13420.053	8119.986	7177.471	941.463	913.061	611.425	1656.238	3691.428	4537.693	16558.438	1007.207	2779.945	7511.453	4922.431	5383.958	2929.580	2708.415	8694.593	9198.460	8636.212	3682.750	1391.945	5854.163	13085.545	421.028	4754.650	3741.394	6625.479	7698.694	2424.924	4287.075	4252.099	7280.383	1090.116
52	4575.299	15877.324	26567.398	28740.389	6895.032	9894.038	10578.308	13411.638	8195.460	6292.285	761.323	1060.855	569.348	1731.713	3638.044	4222.382	17485.437	831.538	2475.679	7328.946	4721.515	5275.348	3014.259	2548.261	8295.655	9506.408	8803.466	4286.812	1435.336	5520.181	12877.266	470.205	4443.021	3461.322	5885.458	7295.548	2445.437	4199.766	3300.905	6895.349	1016.093
53	5142.281	19000.193	27966.969	31015.415	6528.966	8426.881	13860.279	13749.565	8190.727	8901.820	1420.084	1071.900	691.370	1699.367	3733.505	4457.485	16157.396	876.507	2546.946	7157.484	4854.056	5370.283	4627.369	2890.133	8745.085	10723.209	8748.504	4122.187	1361.176	5163.582	12715.271	481.777	5202.240	4013.840	6178.942	7706.320	2522.489	4852.215	4332.570	7364.266	1077.079
54	5661.137	16651.532	23925.779	28617.315	6826.658	10644.579	11424.047	12823.092	8785.584	9450.656	1153.160	1054.807	635.619	2437.021	3407.412	4862.997	17072.824	969.602	2430.710	6754.338	4591.604	5233.534	3498.139	2612.691	8887.094	9643.683	9185.311	4177.150	1589.179	5789.208	12613.235	470.994	6658.614	3528.119	7636.368	7917.492	2311.318	4352.556	3717.726	7179.561	977.172
55	4652.352	15339.007	24997.416	29860.151	6853.218	9281.298	10940.166	10752.137	7715.262	7515.661	1147.638	1003.789	566.456	1753.014	3411.356	4122.187	17005.238	967.235	2461.215	6482.419	4461.955	5417.093	3073.692	2869.358	7707.372	9067.234	8911.288	3799.513	1365.384	5861.790	12883.314	439.174	4417.775	5674.812	7036.251	7372.338	2512.233	4413.567	3182.565	6853.690	991.328
56	5210.129	15814.998	20907.575	26557.141	6672.026	8050.559	10543.069	12042.046	7380.490	8756.393	1405.620	850.209	474.150	1773.001	3251.728	3573.877	16447.198	1285.439	2966.923	6861.897	3996.746	5454.436	3451.855	2433.340	8004.012	9036.991	8194.934	3627.262	1390.104	5611.434	13024.271	464.420	4541.638	3689.062	6439.290	7645.572	2724.457	4432.239	3898.130	6638.068	897.279
