 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
1	11940.799	58806.977	39635.060	20191.485	12555.643	15993.034	22202.218	32967.241	30756.907	38063.500	12031.790	15992.245	30131.544	35262.780	29055.174	12581.941	51831.211	5062.598	6134.498	17782.603	38734.884	24039.912	12692.129	9602.395	50229.146	34568.780	49595.368	17003.397	14405.433	4549.790	36761.231	8238.063	8622.800	8961.254	8568.364	7749.449	8860.533	6785.633	5859.423	21918.134	2397.805
2	14002.024	53800.131	43817.995	19859.343	12813.362	17490.171	22249.554	30248.833	30464.738	38237.855	10826.823	15407.118	26218.162	37824.979	34696.324	12429.413	44909.355	4678.387	5626.424	17161.185	29718.142	19807.537	10807.362	8754.815	43543.182	34452.280	44092.544	17624.027	14525.089	5825.499	38308.070	9835.920	7667.137	8994.126	9114.570	7689.490	8133.134	6477.159	6299.649	21139.280	2218.926
3	14553.490	54928.571	54973.803	20448.415	13945.221	23667.797	24807.546	29185.085	29163.784	38512.405	11225.761	14221.348	21731.224	30682.221	24359.168	13298.557	39919.339	4756.491	5751.865	18652.009	24253.976	19153.246	10280.616	8559.422	48221.569	34614.275	41878.003	17191.953	15505.472	6303.067	38003.015	8734.040	7298.178	8016.898	9140.079	7831.498	7989.022	6858.741	6385.117	20897.495	2238.874
4	14899.833	59319.522	51154.042	22128.321	11919.761	21608.676	22291.894	30558.096	33620.217	38899.246	11274.675	15584.103	22534.623	26009.094	19895.108	11807.206	43488.483	4784.367	6502.668	17080.187	24676.846	16252.331	10238.540	7815.719	43403.015	29887.500	38650.205	15438.939	14368.090	5037.352	33153.956	7714.473	8871.052	10127.826	9981.084	7642.417	8011.375	5841.803	7028.625	20243.622	2192.496
5	14261.321	51592.427	43528.718	21489.810	14250.802	17389.713	21947.655	32074.166	35367.445	37422.096	14063.298	15291.408	21077.460	29614.266	21011.715	14117.209	45753.253	4891.399	7138.024	19851.980	28655.972	23357.483	11972.357	8920.492	62086.319	40364.299	62193.351	17677.674	14928.235	5719.781	34691.591	7599.025	8843.965	9473.273	9257.893	7895.665	8135.764	6895.032	6401.684	21979.590	2465.492
6	13405.063	68384.652	38090.061	23532.889	16023.540	14802.005	22507.273	38974.984	33873.991	38857.169	11361.195	16314.657	21173.184	32864.942	20695.352	13506.573	39831.505	4775.163	6557.105	17637.964	26471.410	23935.772	12157.757	9472.484	62974.923	41653.419	49900.686	19669.210	15447.617	7583.509	37091.269	7686.071	7618.749	8680.393	9378.074	7494.886	7916.440	6172.367	7966.669	22113.871	2526.292
7	13681.191	73390.447	34483.838	25602.004	13796.638	13134.722	24519.847	38905.820	34885.932	38430.092	11317.277	18903.154	23511.588	32115.980	21064.837	14597.408	41313.651	4604.490	6211.288	16684.931	27745.278	26892.439	12602.979	9354.143	55354.596	38136.871	46510.894	16949.224	15317.443	5332.414	34606.649	8033.992	8677.500	8681.970	10203.564	7516.713	7463.328	6680.967	6529.229	21890.906	2480.652
8	15790.015	71957.215	32537.797	23299.627	16425.108	11861.380	22313.458	40047.673	37376.075	39565.370	12636.903	23427.961	25996.997	26839.843	19637.390	13828.459	39176.951	4905.337	5825.499	17135.413	25613.312	21392.508	11142.923	9016.216	55009.832	32206.707	43538.975	16011.706	15019.488	4629.999	32877.302	7659.773	11869.006	12499.629	12951.951	8462.383	8073.964	6549.215	6571.568	21581.562	2366.138
9	17818.368	65530.021	32985.650	21193.959	24319.721	12753.666	23005.618	33670.445	42990.928	33595.497	10843.653	19966.902	29893.812	24075.677	19652.905	12788.379	39634.271	4461.692	5648.514	15760.561	23192.332	26635.772	12230.602	9629.482	49705.293	32019.467	38879.260	15741.364	15044.734	5395.003	31054.599	6863.212	10167.010	10046.566	10424.992	7711.054	7846.751	6849.011	6451.913	20935.350	2204.889
10	16650.217	56060.693	31935.840	21275.482	23784.560	12857.016	22298.205	31472.209	44815.998	32049.446	11858.224	16715.699	29908.013	25303.786	18784.287	13442.932	38682.289	4879.302	7068.598	17436.260	27752.378	22948.551	11284.142	8585.194	52015.559	29029.928	41360.987	16045.367	18825.312	5956.199	34468.848	6856.900	16546.341	13049.516	13215.719	7621.641	7602.181	7854.640	6386.958	21145.780	2074.752
11	17467.554	55725.659	32597.230	21990.784	25535.207	12843.604	24199.540	32996.958	38487.422	34875.413	10835.764	19819.634	31255.777	26977.907	20300.621	13038.208	39307.914	4884.562	7345.777	17185.904	26498.760	22999.043	12053.880	9613.966	54265.866	36892.194	46934.815	16000.661	16733.845	3946.781	33840.330	7176.419	13190.999	9789.373	10073.915	8321.164	8390.590	7933.008	6311.746	21503.559	2170.700
