 	0036-0069	0037-0062	0040-0054	0046-0047	0046-0058	0044-0067	0054-0052	0058-0048	0053-0040	0044-0038	0046-0029	0055-0024	0055-0032	0062-0029	0062-0035	0068-0042	0077-0038	0075-0029	0067-0034	0070-0028	0068-0021	0063-0017	0082-0027	0084-0036	0094-0037	0089-0028	0093-0021	0083-0020	0095-0028	0043-0072	0041-0079	0033-0088	0026-0097	0046-0092	0045-0084	0093-0077	0104-0074	0112-0079	0099-0068	0050-0067	0050-0074	0051-0084	0057-0081	0058-0071	0056-0060	0061-0065	0066-0058	0060-0053	0071-0064	0042-0174	0050-0179	0050-0188	0061-0191	0054-0195	0060-0199	0063-0210	0053-0208	0044-0207	0041-0198	0040-0189	0029-0195	Average	Err
1	5379.224	6023.521	3014.522	8317.745	4668.656	3523.648	4181.357	3622.002	6397.477	3612.535	2768.637	4013.051	2209.282	1861.361	1847.161	3193.873	8443.975	6105.308	1983.120	3212.282	3656.978	2353.394	5372.387	9951.104	11533.446	2444.122	3597.019	3955.459	3132.336	2655.556	3408.727	6601.811	2322.363	10494.944	3176.517	14783.859	7403.369	5528.859	9502.463	7896.980	11456.919	9413.314	9054.611	26151.103	17199.316	5732.930	18678.833	10274.042	13686.713	4992.383	1395.101	3150.482	3427.661	4556.365	9926.384	8253.053	7060.182	6718.836	2029.931	4050.657	7061.497	6367.553	587.369
2	5454.962	6552.897	3007.947	7729.988	4626.317	3435.813	3707.470	3617.794	6455.332	3527.067	3236.739	5483.101	2486.461	2116.451	1696.474	3996.483	10572.785	7077.276	2230.583	3351.660	3650.930	2882.507	6368.023	10311.385	10953.052	2223.483	3341.141	5225.382	2668.705	2332.619	3977.286	7238.745	2358.917	9881.152	3186.510	15521.251	7286.607	5392.373	10377.655	9072.230	12151.971	8734.040	7905.921	28361.174	16723.062	6407.207	15871.012	8264.361	13986.246	5177.257	1488.195	3121.028	3714.308	4896.922	12037.838	9110.625	6748.553	6759.072	1691.740	4330.992	6497.408	6534.303	596.779
3	4988.964	6057.709	3232.794	8225.440	4896.133	3230.690	4270.507	4660.241	8080.276	3661.712	6382.487	4242.368	2745.758	1653.871	1787.202	4501.665	8577.305	6991.808	2204.811	3281.445	4023.833	2637.674	5928.586	11256.792	12369.980	2295.539	3539.164	4277.607	2847.531	2231.635	4025.937	7166.163	2493.825	10742.670	3266.981	18061.623	7840.439	5249.576	10856.539	10369.766	14004.128	9251.056	8642.787	30715.620	19228.458	7134.342	18825.049	11740.410	14627.650	5093.893	1927.632	3599.912	3701.159	4937.420	10484.162	8574.675	7597.973	8404.791	1815.866	3945.466	6644.676	6984.462	667.412
4	4999.483	5943.839	2817.025	8284.347	4662.345	3033.456	3512.077	4153.745	7768.646	3185.458	8574.149	3996.220	3037.401	1519.226	1670.702	3974.393	8356.929	6658.351	1969.709	3062.384	4071.695	3486.831	6296.756	9739.670	10850.228	2396.260	3013.470	4580.559	2819.129	2225.061	3897.341	7421.515	2576.137	10320.063	2950.618	16922.663	7933.534	5574.617	10808.677	9697.593	12387.074	8317.482	8437.400	28224.951	18867.915	5745.553	15474.441	8916.284	14681.824	5029.463	1938.151	4364.653	3324.048	4648.144	9732.569	8908.132	7234.800	5335.833	1507.918	4132.706	6021.417	6590.050	609.892
5	4213.441	6816.138	3103.409	8423.726	5064.965	3118.398	3340.878	3676.702	7070.964	2760.222	4545.056	4263.933	2182.195	1769.319	1537.109	4006.740	7263.728	7427.563	1809.292	3303.009	4258.936	2978.494	6313.061	10026.316	10977.509	2083.841	3564.147	4176.624	2696.318	2312.895	4779.896	7003.379	2785.731	10267.730	3689.851	16974.733	8508.668	6191.828	11543.439	8778.484	12475.961	9261.312	10158.857	26556.878	17328.439	7569.309	16511.102	9260.260	13820.832	5033.933	1669.650	4116.139	3680.909	4802.775	8837.391	9202.405	7131.450	6772.484	1685.692	3942.047	6533.700	6589.511	591.761
6	4593.182	7201.139	3381.114	9331.527	5197.243	3601.490	3130.758	4267.351	7290.289	3064.751	4916.908	4730.193	2193.766	1809.818	1841.901	3980.968	8729.570	7474.899	2248.466	3261.985	4238.161	3024.252	6791.944	13666.201	13228.605	2653.978	3484.464	5012.895	3028.197	2581.922	4257.884	7036.777	3107.353	10240.907	3474.471	19628.448	9836.446	7662.929	12234.546	8062.656	11877.422	10601.187	10576.467	28859.255	16765.665	7773.906	17215.621	8771.909	14512.729	5517.025	2673.176	3668.023	3503.136	4913.226	8432.930	9318.378	7546.167	8390.590	1867.410	4372.543	6973.925	7043.132	637.065
7	4587.133	6827.183	3354.290	10238.014	5582.506	3190.980	3699.581	4428.294	9025.683	4598.178	7237.167	5350.822	2574.296	1879.770	2000.740	4950.043	11259.159	7121.719	2512.496	3300.905	4173.994	3333.778	6452.176	13435.832	13697.495	2384.163	3436.865	4841.433	3108.668	2682.643	4315.213	6931.849	2522.489	10085.749	3602.805	17706.602	9813.304	8937.848	12260.581	9428.566	12035.998	10661.672	9718.106	29641.353	17526.462	7791.788	20437.896	9074.597	14426.209	6126.083	1777.997	4051.183	3868.413	5015.262	8082.117	9207.138	6940.001	6340.410	1625.207	4536.641	6239.427	7245.819	653.886
8	4512.184	7777.588	4442.495	11172.113	5851.270	3212.808	4461.955	5735.034	10238.014	4563.728	8010.323	3210.967	2467.790	1921.058	1734.080	4353.871	11251.796	6984.971	2360.232	3171.520	4550.842	3559.150	6216.285	11822.985	13401.119	2509.603	3380.062	4856.686	3204.129	2560.621	4335.989	7433.612	2718.934	13138.929	3812.136	20202.793	9868.266	12006.281	12717.375	9077.490	13742.728	11274.412	8800.311	29359.703	19864.077	8506.827	17817.579	11288.087	14935.072	6128.976	1793.776	4364.127	3671.705	4781.211	8789.003	9101.158	8402.950	6343.040	1679.117	4272.348	5994.068	7536.350	677.391
9	4854.319	6734.352	3252.517	10422.099	5517.025	3289.860	4028.567	4712.048	9405.161	3787.416	8706.164	2790.990	2832.278	1766.952	1643.352	4306.798	8760.338	7843.332	2431.762	3227.272	4390.425	3105.512	6793.259	9319.430	10960.942	2278.445	3957.826	4235.005	3056.598	2246.888	4180.831	7534.333	2722.616	13191.788	3484.990	18007.712	13043.994	13666.464	13283.041	9585.827	15897.310	10608.551	9700.486	30685.640	21880.596	7716.577	17869.122	9720.735	15419.478	5690.065	1578.134	4282.078	3852.371	4888.243	9652.887	9449.342	8638.579	5958.303	1870.303	4129.551	6495.305	7464.626	701.848
10	4298.120	6702.795	3052.128	8718.524	4557.679	2930.369	3452.118	4487.464	7655.829	3124.447	7978.766	3864.994	2805.454	1577.871	1856.102	4447.491	7737.615	8892.879	2384.952	3889.977	4059.861	3115.769	6579.984	8771.646	11606.554	2155.108	3496.561	4141.648	3023.200	2116.714	4242.368	7859.637	3256.988	12774.704	3538.901	17130.942	12177.743	13780.597	12155.653	9800.155	12719.479	9863.796	8655.673	26234.730	18986.781	6758.546	18531.302	8897.087	16060.883	5302.960	1608.113	3964.926	3823.970	4674.179	7699.746	9927.436	8868.159	5536.222	1875.036	4177.413	6586.295	7064.804	634.824
