 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
1	10701.119	34975.607	16231.293	20746.107	20543.350	9606.340	20719.546	24775.988	19955.856	23446.895	10568.052	7120.930	6975.503	14696.288	11238.647	13030.845	34349.719	5537.274	5655.089	19699.978	15287.200	17448.357	5589.870	6906.866	27477.566	27334.506	20812.377	15585.155	13209.670	6344.881	14402.278	3974.919	8574.938	9834.079	9862.481	11608.921	6771.958	10724.261	6713.577	14590.725	1263.908
2	10032.365	38448.764	15269.055	20866.551	30537.057	11405.112	22681.102	23128.691	22529.890	24921.678	11753.296	5994.594	5780.266	17856.237	14107.479	15202.258	36009.639	5734.508	5137.547	20812.114	14705.492	18757.990	6191.039	7513.031	30102.617	32383.692	26674.693	16684.142	13454.240	8019.791	20907.312	3813.450	8247.267	9415.943	9895.879	10861.273	7486.470	9445.923	6942.894	15890.034	1463.382
3	11642.582	36431.456	15577.265	20576.486	26591.855	10540.702	22266.648	28760.638	23271.752	22711.871	9798.051	7410.470	5078.377	18609.933	16241.812	18015.864	35394.006	5006.321	5373.965	16654.688	15206.203	17541.188	5868.364	6683.597	28733.025	27369.482	23387.462	15150.451	13751.143	8076.068	20455.253	4103.779	8019.002	9522.976	11147.130	11414.317	7449.127	9829.608	6362.764	15539.120	1372.869
4	10776.857	35411.363	16595.781	21388.300	25086.303	10104.158	19762.830	26349.125	22929.091	24509.328	9338.102	8162.588	5035.248	15448.143	16749.097	18598.362	33342.774	4758.332	5558.838	17865.704	14846.974	19370.466	5032.093	7206.924	28683.059	25959.654	21807.488	13488.953	13849.497	8827.398	20174.655	4478.260	8747.189	9035.413	10744.773	12152.234	7845.962	9358.088	6616.012	15281.934	1308.571
5	10758.185	39373.659	16531.614	21672.317	19412.280	9400.691	20501.011	23739.590	21420.646	25475.774	8850.014	7491.204	6836.125	12874.636	14973.204	16836.932	39568.789	4599.756	4678.650	15330.066	13909.982	19793.862	6216.285	7184.834	27002.890	24419.127	19494.592	16003.553	13705.911	8572.571	19130.104	5599.600	8739.826	9373.341	9543.751	11464.545	7852.799	9121.407	6852.955	14982.233	1353.027
6	12762.344	37639.842	17498.060	21425.117	18898.683	10096.269	20932.558	29094.620	20501.274	26419.604	8378.756	7428.878	6189.987	11163.435	15214.881	17115.426	37846.280	4334.674	5225.382	17156.714	13931.020	16765.402	6563.679	7162.481	26117.704	24049.905	20006.874	15271.158	12776.019	7023.628	17798.381	4317.317	8728.518	9434.089	9806.466	12007.333	7728.937	9059.870	6684.649	14886.057	1345.564
7	13760.873	38241.011	16839.036	21372.258	15348.211	9801.470	21523.471	32606.172	19689.722	26968.703	8149.439	7093.318	6368.023	14461.448	15456.821	19262.908	34306.590	5846.274	7621.641	14582.944	15911.511	17780.499	6173.419	7490.678	27549.096	25794.767	20536.513	17943.282	13124.728	7249.527	20504.430	5043.927	7680.023	9603.184	9912.973	11592.353	7056.501	8754.027	6969.718	15281.320	1351.276
8	12330.796	39974.302	16897.154	22646.389	16436.679	9731.254	22470.193	29450.693	21024.075	31723.879	7662.403	7165.637	6209.184	11531.079	17057.571	19552.711	39659.517	5859.949	7176.945	13359.831	16312.290	16911.355	5628.002	6994.438	30187.822	28132.119	22426.276	16325.965	13884.736	6441.920	18318.027	4623.424	8277.247	11916.605	9847.228	12610.605	7049.137	9141.657	6508.717	15627.123	1481.889
9	12435.725	40879.474	17209.310	22242.454	15133.095	10284.824	22414.968	27184.345	20147.568	33943.943	9532.443	6279.136	7075.698	10706.904	16178.171	19957.960	42192.525	7377.334	8733.514	15802.638	15262.217	18090.813	6748.553	7960.095	28628.360	29129.860	22855.194	16798.537	13985.720	8052.400	16023.277	4890.347	8790.844	12807.839	10992.762	12304.762	6976.555	9362.296	6976.029	15957.654	1476.734
10	12120.677	42396.333	17097.281	22429.695	16493.219	10393.434	24751.005	31130.074	24268.966	32435.762	12563.006	7881.464	7773.117	10187.522	16112.952	19924.036	40402.957	6732.511	7604.811	17791.544	14989.771	17152.769	6359.345	6796.415	40369.032	32809.717	31084.841	17874.908	13605.453	7485.156	18423.481	4424.086	8210.187	12849.916	10745.825	12076.759	7213.762	9636.845	6987.074	16912.454	1654.864
11	12911.979	41194.522	17905.151	23217.052	13745.094	10082.594	26106.396	34098.574	31444.596	32308.480	13436.621	8910.499	7729.725	10077.597	16241.812	21830.104	35998.068	5270.351	6506.876	19329.442	15609.612	17535.666	6040.878	7502.775	37493.100	30697.474	28539.736	16064.564	14016.488	7238.219	17386.031	4028.567	8693.016	10914.132	10497.311	11408.268	7679.234	9259.734	7151.699	16823.129	1625.150
12	12514.618	40980.983	18193.901	22106.494	16205.258	9849.332	24008.354	28717.509	25410.555	29194.026	10104.684	8841.598	9110.888	10796.317	16013.547	18653.587	37608.811	5152.800	5685.857	17151.454	15837.614	17575.639	6379.857	7586.928	35253.313	31289.702	23790.345	18594.943	13786.908	7148.280	17798.381	4259.199	8811.882	10167.273	12812.573	12329.219	9372.026	8557.845	7187.201	16277.941	1497.295
13	12711.589	40667.513	16747.256	21696.511	14326.540	9972.669	21839.308	33951.569	21952.652	27867.563	10406.320	7964.565	8018.476	11322.537	14918.767	17116.478	38203.405	4809.613	5024.729	16810.897	14759.139	14198.206	6260.991	6867.945	31523.752	30366.384	23238.879	19524.309	13665.675	6538.696	16222.088	3995.432	8711.687	9422.255	10720.053	12972.201	7826.502	9680.500	6602.600	15626.314	1496.137
