 	0047-0077	0040-0085	0048-0088	0050-0097	0040-0094	0040-0072	0039-0067	0047-0061	0041-0055	0049-0052	0050-0044	0059-0043	0066-0050	0070-0042	0059-0099	0053-0106	0063-0108	0062-0117	0069-0123	0057-0066	0048-0070	0057-0088	0053-0081	0058-0077	0074-0082	0075-0092	0076-0099	0072-0108	0068-0073	0039-0208	0039-0217	0041-0225	0048-0238	0052-0227	0050-0219	0039-0199	0040-0185	0051-0187	0052-0178	0044-0175	0058-0158	0067-0154	0071-0160	0080-0165	0070-0168	0080-0176	0058-0218	0062-0227	0057-0054	0063-0059	0064-0081	0064-0091	Average	Err
1	12251.114	8613.859	12828.615	7792.577	5874.150	3056.598	3057.387	18452.409	3177.569	3933.632	4263.933	6720.414	7475.951	2413.879	6512.398	6693.327	4195.558	4039.875	4449.858	29524.590	7229.803	9283.928	2325.781	17548.815	13510.518	8817.404	4569.251	6915.018	17322.916	3694.584	5881.776	3914.960	2883.822	4480.627	3388.214	2749.703	1932.629	1629.940	2000.214	3296.698	5196.191	6142.125	7157.484	13076.077	9712.320	30281.968	4684.961	16073.506	7736.300	10928.332	10297.184	5665.608	7801.084	849.453
2	13529.978	7666.611	12757.610	8064.760	6598.129	3886.821	3221.749	18845.036	3110.772	4230.797	4241.053	6783.792	7807.304	2064.381	5882.302	6351.455	4449.332	3932.054	4671.286	32914.119	7194.827	8572.045	2872.514	18526.043	14576.369	8738.774	4911.911	6547.111	17485.963	3679.331	6202.873	4146.644	3049.498	4741.764	3389.003	3085.263	1954.193	1515.808	2336.826	2828.596	4582.136	5897.029	6153.170	14014.384	10887.571	33164.738	4737.294	16333.854	8340.887	11773.282	11339.368	5499.142	8078.607	925.640
3	13558.643	10564.896	13104.216	9928.225	10918.602	3573.351	3287.757	18700.397	3163.894	4416.197	4909.545	6352.244	7575.883	2348.398	8973.351	7711.580	5821.028	6275.192	4726.249	31563.988	7531.703	10809.992	3251.991	18061.360	12331.848	8975.980	4613.168	8972.562	19430.163	4059.598	7473.847	4285.497	3309.058	3923.375	3187.562	2956.404	1932.103	1785.624	1916.324	2926.950	4801.986	6147.121	5589.870	13627.280	11624.173	31259.196	5095.996	16633.913	8818.982	11407.479	11774.597	7248.475	8523.804	889.236
4	11624.962	8761.653	12756.559	7941.949	10135.978	3356.920	3152.849	18103.173	2950.881	4880.091	4455.907	6504.772	7658.195	2425.187	6709.632	7496.464	4760.436	4856.160	4845.904	31025.934	7372.338	11548.961	2815.710	15603.826	12688.447	8335.891	4824.866	6825.606	18419.799	3881.299	6476.896	3947.044	3813.187	4228.167	3585.185	2809.399	1821.126	1775.893	2034.401	2746.810	4739.661	5948.047	6452.176	13191.525	11997.866	32787.890	4547.686	16215.514	8194.408	11569.737	11321.485	6260.202	8138.166	882.393
5	13790.590	8316.167	13785.067	9125.878	9321.008	4709.155	4319.158	20953.334	3225.168	5081.533	5192.772	7241.112	8362.978	2217.434	6750.394	6655.984	4883.510	5048.134	4329.677	36146.913	8131.294	12151.445	3269.874	18513.683	13884.999	9049.614	4489.568	7999.278	20332.179	3604.909	6677.549	4056.706	3378.221	4227.642	4226.327	3051.076	1886.870	1415.087	1921.846	2891.185	5030.252	6346.196	5782.896	12290.035	14192.158	30861.836	4679.701	16159.500	9597.661	12452.292	12818.621	7059.130	8690.108	954.464
6	12025.215	7613.226	13230.709	8131.031	7434.138	3648.300	3212.282	19581.375	3448.173	6014.317	5530.437	7734.459	8409.262	2236.632	6354.611	5898.081	4494.828	4350.978	4229.482	33034.038	7590.610	8875.260	2838.326	16841.403	13340.371	8386.646	5297.964	6391.428	18177.333	3864.994	7636.631	4475.104	3710.626	4362.549	3851.582	2952.722	1795.091	1076.108	1951.300	3279.078	4811.980	6172.893	5862.841	11894.252	15234.604	30033.979	4792.256	16292.830	10274.831	12876.477	11076.652	5346.615	8230.325	891.258
7	16540.292	9090.113	12692.129	8143.128	8321.953	4480.627	3576.507	21476.661	3373.225	4683.909	4630.524	6910.022	8162.325	2169.309	7110.411	5429.716	5263.777	4792.519	4853.004	45014.547	9266.835	10895.986	3399.785	19706.816	12689.762	8332.472	4502.980	7712.632	20719.020	4155.848	11459.286	4329.151	3624.895	4117.454	3916.538	2730.505	2019.937	1469.524	2079.634	2638.200	5063.650	6420.356	5943.839	13036.368	14236.601	31887.978	4439.865	16807.216	9775.698	13254.640	12072.815	6480.841	8959.650	1081.325
8	16526.618	7890.931	12447.559	8181.522	8367.974	5323.210	3842.378	20396.608	3718.515	5014.999	4566.095	6750.394	8042.933	2622.684	6314.901	5581.981	4542.690	4775.952	4760.173	34555.894	7668.189	10976.457	3029.512	17219.566	13536.290	9047.773	4610.538	7207.976	18477.392	3895.763	8900.243	4186.354	3400.048	4502.717	3790.834	2780.208	2142.485	1720.142	2329.989	3300.380	4818.028	6346.196	5939.631	13773.233	15027.640	32934.632	4829.073	16509.261	9107.996	12931.176	13066.610	6235.482	8624.343	949.147
9	13191.262	9493.785	13163.386	8131.557	9124.563	3886.558	3204.129	20203.319	3539.427	3998.850	4536.378	6943.683	8110.518	2285.809	6667.819	5739.768	5150.959	4168.997	4879.302	31670.757	8704.587	11685.447	2849.371	18336.961	13178.639	9172.688	5212.496	7510.927	18020.072	4006.214	6778.006	4264.458	3364.020	4537.167	3959.403	2662.920	2156.160	1556.043	2077.793	3124.973	4891.399	6182.097	6516.606	14541.656	15005.550	32797.620	4692.850	17239.815	8698.801	12629.803	11416.157	6053.501	8498.366	921.950
10	12207.722	7591.136	12543.809	9901.664	10483.373	3220.171	3389.266	18613.351	2930.106	4881.406	4487.201	7137.761	8283.295	2804.402	10129.141	7982.185	6633.631	8060.815	5005.532	31159.790	7301.334	13752.458	3110.246	18438.208	14379.398	9691.282	5716.625	10603.817	20190.959	3689.588	6779.847	4151.904	2957.193	4330.992	3405.834	2583.763	1955.508	1509.496	2070.955	2993.484	4673.390	6236.797	6559.997	13758.243	13953.110	32409.727	4607.908	16178.960	9230.281	12679.769	15922.030	9299.444	8895.544	916.509
