 	0036-0069	0037-0062	0040-0054	0046-0047	0046-0058	0044-0067	0054-0052	0058-0048	0053-0040	0044-0038	0046-0029	0055-0024	0055-0032	0062-0029	0062-0035	0068-0042	0077-0038	0075-0029	0067-0034	0070-0028	0068-0021	0063-0017	0082-0027	0084-0036	0094-0037	0089-0028	0093-0021	0083-0020	0095-0028	0043-0072	0041-0079	0033-0088	0026-0097	0046-0092	0045-0084	0093-0077	0104-0074	0112-0079	0099-0068	0050-0067	0050-0074	0051-0084	0057-0081	0058-0071	0056-0060	0061-0065	0066-0058	0060-0053	0071-0064	0042-0174	0050-0179	0050-0188	0061-0191	0054-0195	0060-0199	0063-0210	0053-0208	0044-0207	0041-0198	0040-0189	0029-0195	Average	Err
1	10630.641	5780.792	2970.342	8247.004	3437.654	4716.781	3308.006	4991.857	6138.706	3625.947	3352.449	2611.113	1594.964	1909.224	1396.942	5217.755	6870.575	8287.240	2028.879	4931.109	5095.207	5083.899	5933.320	8241.745	9270.516	2118.028	5299.805	3973.341	2583.500	2722.353	4257.358	12315.281	2919.850	10281.931	3602.279	13251.747	11625.488	9921.388	15763.454	7634.790	14412.534	9998.178	8663.562	29398.887	16408.540	7176.945	13015.592	8319.323	14579.525	6932.112	1420.873	4568.462	5836.281	6614.171	12199.570	12582.993	7220.862	4394.896	2232.161	5210.129	8331.946	7105.915	619.017
2	8581.513	5466.270	2769.426	8131.031	3591.497	3733.505	3751.388	7114.356	7311.327	3988.331	3312.739	1921.584	1816.655	2201.393	1604.694	4530.330	6233.641	7955.624	2291.594	5227.486	4639.466	4499.824	5315.320	7770.224	9941.111	2335.512	5409.204	3528.645	2532.482	2219.538	3909.175	10736.358	3492.617	9736.514	3021.885	16018.017	12244.014	11061.136	18468.976	8395.587	14476.964	9309.437	7676.341	30878.140	15994.612	7251.631	15542.289	7986.392	15412.641	6805.619	1344.609	4948.202	6296.756	6721.992	12422.313	13120.784	6685.964	4221.856	2249.781	5502.824	8549.429	7216.534	662.205
3	7261.361	6011.950	2535.638	8277.510	3278.815	4223.960	3465.793	6343.566	7258.731	3471.315	3036.349	2572.192	2238.473	1918.165	1511.863	4352.819	5852.322	7359.189	2486.987	4384.903	4052.761	3877.354	5294.282	8107.363	9969.250	2234.791	5258.254	3906.545	2759.170	2095.412	4204.499	12697.651	3464.741	10050.247	3624.895	16012.495	13925.235	12602.190	19622.663	7154.855	15920.452	10786.850	8131.294	28652.028	15386.343	7219.547	14363.620	8730.096	16517.413	6978.659	1681.221	5255.361	5636.943	6882.935	13014.803	13168.383	7498.041	4418.038	2415.457	5007.899	8937.848	7300.980	664.101
4	6511.609	6004.061	2677.121	8954.416	3327.992	3767.166	3965.978	5020.522	7635.842	4406.993	3219.119	2190.347	2038.346	2013.100	1599.435	4804.616	7198.246	7188.516	2368.384	4542.164	4108.512	3378.747	5702.688	9407.528	12430.991	2411.249	5472.056	3709.048	2658.186	1823.756	4051.183	12701.333	3199.659	9083.802	3655.926	15981.463	14389.918	15000.291	20034.487	7790.474	13945.221	10415.787	8590.454	31076.426	16251.542	7151.699	14026.744	9885.886	14291.827	6758.020	1898.178	5256.150	5429.979	6846.118	12242.173	12036.261	7197.983	4696.532	2874.880	5115.720	8480.792	7391.699	683.330
5	6764.069	6582.876	2990.854	9607.129	3418.457	4283.919	4598.178	8632.530	8306.174	4704.947	3477.890	2215.067	2353.131	2354.446	1668.072	4521.388	7072.016	7602.181	2445.700	4889.558	3788.205	3008.210	5242.475	8078.435	11543.702	2205.600	5350.559	3687.484	2627.155	1660.183	4134.547	12756.559	3247.784	8950.734	3829.229	14895.099	15740.575	15100.485	18964.691	8963.620	13097.379	10634.848	8413.995	30444.489	17437.049	7762.335	19267.905	12083.860	16097.963	6815.086	1715.934	5267.721	5620.638	7008.902	11169.747	13482.642	7368.656	4489.305	2346.557	5750.024	8618.330	7658.316	699.792
6	6803.252	6812.983	2645.826	9309.174	3514.970	4247.891	4512.973	9120.356	8585.720	5311.902	3304.324	2616.899	2282.916	1775.893	1381.952	4386.480	7091.214	6968.140	1967.605	4225.275	3609.642	3219.908	5802.356	8378.493	11323.063	2137.489	5678.757	3522.333	2617.424	1963.397	4324.681	12416.001	3294.068	10149.127	4036.982	17404.703	15981.200	14972.415	20266.171	8450.023	14678.668	12427.047	9657.883	29535.372	14646.322	7666.611	17426.004	9718.631	15861.282	6717.521	1471.364	5418.408	5537.011	7128.820	13061.088	13104.479	7288.974	4564.254	2100.409	5433.398	8136.553	7672.034	698.541
7	5819.713	5826.287	2683.695	9106.944	3588.867	3691.691	3920.220	6370.916	7630.320	4708.892	2991.380	2313.684	2459.637	2097.779	1668.072	3897.341	6567.361	6988.389	2274.238	3924.427	3715.097	3364.546	5215.915	7977.451	14083.548	2797.039	5388.165	3950.988	2892.763	1810.344	4164.790	11036.942	3202.289	10606.710	3279.078	18533.932	17088.077	16946.857	20497.329	7751.290	15411.063	10716.898	10844.442	29472.258	15602.511	7151.962	14950.588	11447.452	16220.774	7643.732	1784.046	5645.621	5802.882	6897.136	13918.397	13011.911	7431.245	4487.201	2131.177	5515.973	8913.129	7669.400	718.411
8	4975.552	6268.617	2814.921	7991.652	3868.939	3247.258	3340.615	6483.471	7063.864	4026.200	2760.485	2046.761	2110.402	2249.781	1602.591	3769.796	6076.117	7043.878	2077.004	4304.168	3240.683	2861.206	5204.606	7863.056	11655.994	2230.057	5517.814	3818.710	2626.892	1803.243	4737.557	10997.496	3184.143	10022.372	3586.500	17418.377	15789.226	16322.546	18291.466	7825.976	13156.549	11252.585	9808.833	26154.521	15944.646	6977.870	15152.555	10262.208	15952.010	7770.487	1450.326	5172.260	5798.412	7357.085	12489.372	13002.969	6921.856	3986.227	2098.305	5366.338	8582.302	7275.044	661.864
9	5825.762	5917.278	2927.213	8402.161	4116.928	3771.900	3866.835	6415.359	7430.193	4637.625	2805.454	2987.698	2434.917	2260.563	1461.897	3886.558	6436.135	7461.750	1879.770	4612.905	3520.755	3008.999	5292.704	7549.848	11086.645	2354.446	5521.758	4014.629	3004.529	2057.806	4498.772	12083.334	3066.855	10027.894	4137.703	20286.946	18012.709	18289.625	20293.258	8561.526	14262.110	12166.172	9619.226	33390.373	15338.481	7955.887	16887.424	8050.822	15906.777	7264.254	1516.860	5842.329	5437.342	6582.876	11688.603	13441.880	7721.310	4033.563	1999.688	5180.675	8841.335	7694.060	757.748
10	7422.041	6444.813	2514.337	8096.843	3637.518	3859.472	3505.503	5372.913	7114.356	3761.118	3625.947	2690.532	2193.240	2004.422	1233.895	3681.435	6322.265	7845.173	1790.094	5070.224	3719.830	3158.634	5414.726	8497.886	11422.995	2192.977	5564.887	4016.470	2969.816	2194.292	4375.961	11833.241	3116.032	10282.457	3929.950	17568.801	16184.483	17075.191	19514.053	9145.864	13417.949	10124.407	8606.233	28973.387	15112.056	6718.047	15370.301	8662.247	17055.204	7074.383	1525.801	5180.412	5652.196	7205.609	12536.972	13839.241	7608.229	4704.684	1944.200	5730.563	8178.893	7468.618	691.594
11	7201.402	6146.595	2421.243	8231.751	3954.933	4115.350	3254.621	5959.092	7275.825	3091.312	2995.062	2433.603	1895.549	1767.215	1169.202	3858.946	6187.883	7428.352	1791.409	4302.327	3574.140	3188.088	5642.992	8001.382	11648.104	2320.522	5771.588	4017.785	2955.352	2155.371	4204.236	10627.748	3397.682	9005.171	3114.717	17940.390	16852.448	16866.386	19266.064	8343.780	12113.313	10113.888	8538.647	30141.012	14286.567	7029.677	17008.131	8096.843	17093.862	7426.248	1671.754	4759.121	5323.999	6659.403	13590.726	13189.421	7229.278	4282.867	2360.232	5283.763	9438.033	7377.252	707.114
12	6601.811	6146.069	2560.884	7825.450	3727.457	3821.866	3117.347	7781.795	7182.993	2951.933	2601.909	2762.852	1822.441	1744.336	1138.434	4067.488	6333.310	8540.225	1782.468	4494.302	3145.222	3058.176	6013.528	8504.197	11235.754	2683.169	5465.481	4288.390	2924.057	1934.732	3965.978	11532.131	3431.869	10135.452	3485.779	16865.334	17033.903	18616.244	19601.624	8326.424	13381.658	10139.134	9551.640	31851.161	14222.400	8178.367	16988.408	9942.163	15384.239	9762.549	1574.189	5554.894	5673.234	6682.808	12402.852	13248.328	7574.831	4664.449	2004.422	5657.981	9041.988	7585.812	725.308
13	6735.667	6317.794	2817.814	8480.529	3623.580	3894.448	3474.734	6422.723	7338.151	3644.092	2662.394	2404.412	1756.959	1894.760	1387.211	4392.266	6480.578	8543.381	1766.426	3820.551	3172.572	2938.521	5711.629	8348.514	10806.836	2517.493	5328.732	3921.535	2965.608	1739.602	4129.025	12249.010	3302.746	8955.468	3060.280	17333.698	14717.589	16069.561	19245.026	8593.873	14984.775	10101.791	8698.275	29894.075	16190.268	7655.829	15051.308	10659.831	15664.048	8684.600	1520.278	4993.698	5403.944	6662.033	10957.523	13792.694	7046.245	4349.926	2064.907	5351.611	9007.275	7404.930	695.653
14	5820.502	6348.563	2873.303	9134.819	3433.184	3376.643	5107.567	6452.176	6737.508	3823.970	2700.263	1888.974	1760.904	1591.546	1206.019	4926.638	6445.865	8037.673	1981.280	3766.377	2769.426	2845.164	5837.596	8008.483	10500.729	2185.088	5728.722	4060.650	3159.686	1847.687	4195.295	11983.665	3320.892	9786.217	3736.924	17780.499	13617.287	13446.614	19961.905	7702.639	15605.930	10225.654	9222.391	30658.553	16719.907	7604.022	15392.654	12335.793	15428.420	7835.969	1608.902	5281.922	6050.345	6415.622	10573.837	13639.640	7242.163	4338.092	2619.528	5170.156	8922.596	7422.640	700.511
