 	0052-0041	0025-0042	0025-0065	0026-0055	0032-0033	0026-0028	0032-0006	0041-0018	0028-0070	0035-0086	0088-0082	0092-0065	0089-0054	0083-0044	0078-0050	0081-0059	0071-0059	0077-0073	0061-0012	0027-0151	0041-0173	0030-0175	0035-0184	0025-0197	0040-0150	0056-0167	0026-0223	0034-0238	0047-0233	0041-0053	0038-0217	0068-0028	0044-0247	0019-0206	0067-0007	0073-0017	0072-0039	0051-0016	Average	Err
1	56405.195	15186.216	21329.393	22670.583	18275.687	19122.741	27369.482	27072.053	28032.976	16250.753	33411.938	24555.087	25708.247	28613.633	19223.987	50416.913	24541.149	32447.070	20898.108	11168.958	18397.446	10725.576	10359.773	11943.166	24262.129	16039.055	8770.594	6208.658	17246.127	184216.139	74248.020	19174.285	17881.745	9634.478	20293.784	20264.593	35067.387	10285.613	27308.388	4703.836
2	54755.005	16270.739	19251.074	22820.744	18448.727	17761.564	27994.319	27852.310	26763.843	16739.367	36335.206	24708.140	29065.693	27853.099	19066.989	47730.851	25566.765	38074.283	23923.675	10343.731	19772.298	11058.770	10523.346	11702.015	25288.270	29337.350	8738.511	6107.148	17142.250	179660.563	73205.836	18330.387	19487.229	9578.201	20794.495	20149.409	34393.899	10578.571	27820.386	4571.467
3	49214.575	15439.202	18509.738	20976.476	17346.584	17270.584	28490.822	27345.288	25254.872	16278.103	45766.402	26325.457	30380.848	27132.538	18813.478	50366.158	26220.266	37764.757	25448.161	9298.918	19170.340	11345.679	10844.442	12792.850	25036.600	26606.318	8894.720	5971.978	17691.349	176222.120	75000.138	19356.003	18257.279	9229.755	21757.785	20040.799	33843.485	9577.412	27770.586	4520.535
4	56858.044	17768.928	18113.692	21130.055	17868.860	18460.561	27009.464	27069.686	24547.460	16506.894	41386.233	26059.060	35037.144	28579.972	19126.159	48323.867	27718.717	37115.463	27653.762	10277.198	19003.612	11276.253	10519.138	12615.076	24989.264	28265.186	9739.933	5950.939	19161.662	186369.407	86511.494	20169.132	22622.984	9478.006	21150.042	21145.308	39089.379	10128.615	29073.596	4836.945
5	54626.146	17258.224	19245.026	20132.315	17151.191	17278.473	26741.226	26178.452	26631.038	17413.907	44422.056	29515.386	34686.331	28706.727	19203.738	50586.008	27646.661	41040.153	23291.475	8870.526	17683.460	10403.427	9561.370	12040.468	24622.672	37085.747	10417.891	6404.051	17513.839	175979.391	78909.839	19009.134	18647.276	9361.770	20291.154	20200.163	35884.198	10221.709	28549.016	4577.736
6	53922.679	17297.670	24839.892	21638.919	19363.892	17864.389	28233.892	25003.202	28347.499	15951.221	49184.333	26210.010	34641.888	29466.472	18634.653	53009.092	28984.433	43130.306	25177.819	8833.972	17506.738	10447.608	10163.065	11620.755	25081.832	32650.878	9146.127	5853.637	17635.072	190470.555	79055.529	19606.358	17841.773	9230.281	21601.839	21522.419	36824.872	10513.878	29381.828	4915.958
7	57587.809	15844.977	27644.820	19663.161	18983.625	17296.881	30513.389	28019.302	26705.987	15957.795	52626.195	27299.530	32703.211	28458.739	18322.497	49487.021	28660.706	41915.872	26079.310	9003.856	18394.553	10578.571	10362.403	12146.449	25086.566	35331.154	8611.755	6124.768	17360.785	171545.312	82720.659	18963.376	17935.130	9790.425	20737.954	21359.635	36456.176	10409.739	29123.424	4536.473
8	60092.679	14788.856	21911.364	19413.332	19233.981	17189.323	32199.870	30886.819	25861.300	16051.152	47415.803	28647.294	30586.760	27913.058	18827.942	49358.162	27935.674	38333.053	24651.863	9869.318	17570.642	11083.490	9604.762	12136.192	25887.598	34265.566	8994.652	6119.771	16707.284	173819.023	85485.878	17071.509	17814.423	10623.277	20727.961	21029.597	35405.577	10086.012	28831.601	4602.892
9	56621.626	14896.151	23843.204	20635.393	18086.606	17784.969	32871.780	33261.514	27006.309	16753.568	48532.409	28039.814	30490.773	27867.826	18651.746	49539.617	27732.655	39052.562	24342.074	12103.846	17733.952	10556.744	11271.782	13521.563	25208.851	25434.749	9233.436	6196.298	17095.177	178501.617	85571.609	20385.037	19447.782	10747.666	22013.926	20614.092	38201.827	9792.265	29201.127	4673.297
10	59360.810	14597.408	20514.686	22961.963	19973.739	17733.426	34650.040	35251.998	25155.992	17147.510	45780.603	28791.143	29471.995	28430.600	18464.769	52602.001	28514.227	36925.330	22750.791	11474.802	16882.164	10828.138	10257.737	15362.412	25916.789	19555.866	9352.565	5653.774	18433.211	179897.507	85957.135	20865.762	17742.367	10295.343	21765.937	20710.868	36084.062	10248.270	29114.835	4727.098
