 	0047-0077	0040-0085	0048-0088	0050-0097	0040-0094	0040-0072	0039-0067	0047-0061	0041-0055	0049-0052	0050-0044	0059-0043	0066-0050	0070-0042	0059-0099	0053-0106	0063-0108	0062-0117	0069-0123	0057-0066	0048-0070	0057-0088	0053-0081	0058-0077	0074-0082	0075-0092	0076-0099	0072-0108	0068-0073	0039-0208	0039-0217	0041-0225	0048-0238	0052-0227	0050-0219	0039-0199	0040-0185	0051-0187	0052-0178	0044-0175	0058-0158	0067-0154	0071-0160	0080-0165	0070-0168	0080-0176	0058-0218	0062-0227	0057-0054	0063-0059	0064-0081	0064-0091	Average	Err
1	14237.916	10583.305	13911.560	5585.662	5071.276	1697.789	1803.506	11404.323	2631.362	3987.542	5520.444	7195.353	5721.622	2404.149	8426.092	7392.061	3379.799	2377.588	3022.674	30765.060	3647.248	13589.148	3538.901	20485.758	10871.003	10786.324	4635.521	7773.117	15871.538	4400.418	4506.662	3685.380	1953.930	4895.081	3362.179	6309.116	1453.219	977.491	2133.018	1720.405	2897.234	2373.118	5837.859	9381.230	10784.220	22024.445	6802.989	35311.957	7707.635	10316.119	11449.556	8180.734	7822.724	960.948
2	14194.525	12090.434	13003.232	5744.238	5220.122	1725.402	1706.204	10216.450	2426.502	3565.988	5382.117	7728.411	6331.995	1977.861	6809.301	5816.557	3082.107	2485.935	2807.295	28311.471	2861.994	15711.121	4369.124	18051.367	12843.867	10822.089	4900.077	6189.987	15665.889	4365.442	4690.484	3502.873	2036.768	4174.257	3051.865	5113.090	1486.617	1045.339	2405.201	1949.985	2961.663	2784.153	5406.837	9452.760	11224.709	21026.179	7424.933	37288.766	7226.122	10093.639	15145.981	8928.907	7785.158	964.854
3	16543.711	15286.674	12011.804	5830.232	5468.111	1956.823	1843.742	9921.388	2551.680	3622.528	5348.193	6613.119	6035.881	2562.988	7815.982	7242.952	3103.672	2433.603	2865.939	32502.032	3206.759	12771.811	4046.449	17866.493	11292.557	10671.139	4792.782	7499.093	14132.988	4083.266	4526.911	2909.068	1700.682	4173.994	3097.623	4248.417	1476.887	975.124	2331.304	1862.413	3063.173	2775.475	5968.559	9140.605	10962.520	22910.419	6823.502	36359.400	7592.451	10807.888	12085.700	7468.325	7792.016	990.678
4	16572.113	16155.818	11940.010	6314.638	6582.614	1737.499	1734.080	10372.659	2454.378	3625.947	5266.669	7272.669	6176.049	2235.054	6541.589	6131.605	3237.528	2675.806	2716.567	30787.413	3190.455	13306.972	3689.062	18649.643	11578.152	10652.994	4748.602	6884.776	14281.045	3631.995	4306.272	3010.051	1928.947	3971.238	3147.852	3564.673	1430.603	921.213	1834.275	1828.489	2844.375	3023.463	5971.715	9991.340	12452.029	21764.096	6411.152	35966.510	6932.112	9261.312	10572.785	7323.161	7684.655	976.507
5	15218.826	10836.553	12347.101	6736.456	6410.363	1795.617	1643.615	9633.689	2587.708	3619.635	5300.068	8340.361	6644.939	2317.892	6941.053	5461.010	3420.298	2475.679	2663.446	34277.137	3070.536	13341.949	4412.515	20589.372	11810.362	10147.286	4882.984	6951.572	16432.734	3779.526	5238.531	3538.901	1986.539	3466.845	3298.276	3345.349	1689.111	1013.256	2327.622	2394.419	3269.611	2641.093	5840.225	9379.915	11519.508	21409.338	6083.480	39299.499	8500.515	10245.377	13771.918	7615.593	7922.408	1040.548
6	12742.884	7814.142	10749.244	5841.277	5762.384	1863.728	1987.065	9713.898	2562.988	4170.312	5729.248	7508.035	6160.533	2560.884	6939.475	5195.402	3496.035	2578.241	2882.507	30393.997	2549.839	11505.833	3513.129	20822.370	11064.292	10279.302	4810.665	6784.581	15907.303	3584.659	4493.250	3456.326	1979.439	4029.356	3189.666	3253.043	1575.241	1154.475	2117.239	2030.983	3377.169	2644.511	5011.317	8879.993	11289.928	20982.524	6287.289	38007.223	7050.715	9432.774	12964.048	7165.637	7458.585	973.918
7	12831.507	8736.670	10754.767	6426.930	5776.585	1473.994	1731.976	9920.599	2405.990	3416.879	4876.409	6729.092	6251.524	2529.064	7712.632	5483.627	3974.393	2737.606	2774.686	28529.217	2616.110	12816.255	3523.122	17026.803	11686.499	10991.973	4876.935	6731.985	13492.372	3807.139	4392.266	3034.508	1806.399	3577.033	3407.412	3212.808	1396.942	1189.977	2173.254	2089.890	2976.390	2716.830	4945.836	9526.131	10907.294	20654.590	5887.036	32917.801	7032.307	9318.904	10810.255	8078.172	7205.680	879.275
8	13448.455	8681.444	11053.773	6137.654	6503.457	1765.374	1941.833	10742.933	2450.696	3553.102	5872.572	7020.999	5964.088	2318.418	8271.724	6447.443	4172.153	2609.798	2842.534	31768.585	2996.639	12871.480	3761.381	17683.723	13561.799	12282.145	5523.073	6580.510	15329.277	4523.229	5166.738	3367.702	1970.498	3771.374	3709.048	4444.336	1536.583	918.584	2569.825	2261.089	3221.223	2682.117	4878.250	9861.955	11541.072	22958.281	7755.497	39200.093	6865.052	10221.709	13552.857	8609.125	7879.679	1003.350
9	13274.889	8732.725	10585.934	6710.947	5381.854	1861.624	2064.644	10297.710	2697.896	4106.145	5392.373	7278.191	6179.205	2242.943	13081.074	11372.766	4653.141	2467.264	2991.906	33815.347	3403.730	14130.358	3928.898	21140.048	11673.087	11923.706	6324.895	8004.801	15808.686	4193.717	4596.074	3167.049	2318.944	3830.807	3345.612	3680.383	1440.070	1054.281	2237.684	2494.877	3271.452	2530.642	6304.908	10548.066	11607.343	22646.915	7549.322	39068.078	9042.777	12320.540	10889.675	11869.269	8298.755	1036.890
10	14599.511	7391.798	10793.950	7880.149	5579.614	1939.729	1865.043	9497.204	2459.374	4035.930	5867.049	6984.708	6798.519	2362.335	12590.882	14949.536	4570.039	2868.043	3091.575	29843.320	3206.496	14174.275	3794.779	18739.318	13018.485	13414.005	5832.073	7394.691	15971.733	3997.272	4953.199	3115.243	2028.090	3344.823	3650.404	3797.409	1548.943	1235.736	2368.384	2265.559	2780.997	2502.240	5935.424	9430.670	11668.617	21119.799	6976.029	39427.833	7615.856	10341.364	14933.494	10780.801	8217.930	1006.173
