 	0011-0080	0016-0076	0024-0075	0029-0082	0037-0090	0019-0068	0019-0055	0023-0046	0023-0037	0036-0034	0028-0033	0048-0030	0049-0039	0056-0030	0041-0097	0048-0096	0079-0065	0082-0078	0080-0051	0079-0043	0089-0052	0057-0096	0062-0184	0065-0171	0074-0183	0035-0048	0033-0072	0028-0067	0033-0061	0039-0080	0040-0057	0041-0067	0068-0195	0074-0155	0045-0047	Average	Err
1	6520.814	7079.906	10531.235	9069.075	29224.269	9648.679	28412.191	10696.911	5775.007	7926.433	1594.175	6173.682	5316.898	3567.566	4019.363	5798.149	5495.724	5392.899	7428.089	3979.390	5825.499	9161.117	4653.667	14411.745	15155.185	20584.638	15091.018	9550.588	33673.338	15752.672	12100.164	5851.007	7333.154	6438.764	18829.520	10516.072	1269.425
2	6834.021	7633.475	16775.132	9941.111	29638.986	8211.765	28990.218	10813.937	5676.916	7471.218	1848.213	5575.143	4984.231	3575.192	3651.456	6345.933	5742.134	5403.418	7428.352	3844.219	5907.811	8546.011	4578.718	13405.852	17602.725	20527.309	20857.873	11377.763	34586.399	18819.790	11280.460	7619.275	7669.240	6533.437	17796.803	11071.272	1340.913
3	6749.868	6757.494	12958.000	13500.788	29049.388	7633.738	28566.560	10288.506	5528.070	7410.996	1609.691	6516.606	4964.507	3642.777	4018.048	7383.909	5768.169	5343.985	7552.215	4095.100	5754.757	9112.466	4703.895	13981.775	17437.049	23722.497	21035.909	9658.146	36822.505	19188.222	12396.015	7819.664	7384.435	6831.917	18540.769	11249.384	1379.509
4	8598.080	9485.107	11358.565	11383.548	30187.033	7816.771	28349.077	11465.071	7944.579	7614.804	1888.448	6091.107	4553.209	3644.618	4495.354	6551.582	5852.059	5271.403	7020.736	3919.957	5921.486	7988.233	4606.330	13282.252	17583.002	25051.327	16643.643	9525.079	36337.047	16406.962	12546.176	7880.412	7902.502	6971.822	18047.159	11148.130	1343.941
5	8026.365	9289.714	10984.084	10807.362	29280.283	7786.529	26156.362	10298.499	6711.473	7651.095	1895.286	6278.873	4392.003	3724.564	5667.974	7611.648	5579.088	5742.397	7408.892	3653.297	5686.646	8730.621	4628.684	13684.083	15064.194	21188.962	16337.799	8811.356	30074.215	17816.527	10563.318	6935.794	5429.453	6998.119	16313.079	10491.675	1181.397
6	7100.418	7960.358	12612.709	10208.560	29583.234	6932.638	26936.619	10341.890	6210.499	7940.108	1817.707	6326.735	4641.307	3850.267	5585.136	8983.081	5736.349	6107.148	7193.512	3879.458	5787.367	9526.394	4778.581	13311.969	14904.829	22311.880	15921.767	8574.938	32294.805	17981.677	10974.354	6517.921	5898.870	6627.320	17115.163	10642.159	1235.944
7	6748.290	7981.659	13762.714	10046.303	28039.288	11942.640	27387.364	9488.525	5969.085	7703.691	1597.331	5811.824	4315.476	3703.262	4817.765	7010.742	5754.757	5638.521	7213.499	4130.339	5795.519	12479.379	4279.448	13494.213	16047.471	21770.934	17323.705	9629.745	36888.776	17677.411	11639.163	7145.124	8264.887	6871.364	16307.031	10990.778	1298.642
8	11446.926	11492.421	13395.596	10342.679	26647.869	9037.517	26360.434	10245.377	5358.975	7770.750	1790.620	6683.860	4627.632	3758.225	4799.883	7346.303	5994.331	5295.597	7797.311	3948.621	5756.861	12536.446	4542.690	14142.718	15445.513	23795.605	19955.593	11695.440	36985.289	16882.690	11766.445	8099.736	6307.538	6874.783	18525.517	11355.823	1295.399
9	8537.595	8894.194	16136.883	9254.738	28291.221	10922.021	27831.272	10232.491	6025.888	7846.225	1858.732	6413.518	5099.152	3611.220	5207.236	7934.586	5527.807	5571.724	6959.462	3751.651	5671.656	12181.162	5300.857	13464.759	17690.560	25028.448	20276.953	12061.243	43696.236	17953.802	14112.738	8001.382	8509.720	6922.382	18069.249	11852.822	1457.773
10	10470.487	11087.960	13202.307	9766.757	27839.950	10772.123	25554.931	10006.330	6518.710	7809.145	1805.873	6071.909	4729.141	3592.549	4832.229	7012.583	6065.598	5553.579	7077.539	4121.661	5526.492	9973.195	5208.288	13589.411	15131.254	19776.768	17077.031	7567.468	29524.327	15817.891	9696.015	7007.850	6714.629	7361.819	16255.224	10574.829	1127.765
11	8747.452	8924.437	13600.982	12451.766	29295.799	11710.430	28691.212	10438.141	6023.521	7659.247	2199.026	5884.143	4894.555	3905.230	5537.800	9283.402	5756.072	4971.608	7217.706	3717.200	5902.025	13091.593	4733.349	14172.171	13589.674	25100.767	19997.407	11438.511	44697.395	20668.791	13023.482	8002.960	5717.677	6829.024	18580.479	11898.715	1495.811
12	8106.837	12441.510	13111.579	20667.739	27590.121	10750.822	30503.922	9783.061	6013.265	8791.632	3556.783	6281.766	4584.766	3923.638	4735.190	8023.998	6066.913	5680.860	7608.229	4061.702	5882.565	12717.901	4792.256	15047.890	14545.601	24120.383	18954.172	12187.736	45493.167	22393.141	12346.838	7448.339	6196.035	6967.088	18336.435	12277.540	1519.418
