 	0011-0080	0016-0076	0024-0075	0029-0082	0037-0090	0019-0068	0019-0055	0023-0046	0023-0037	0036-0034	0028-0033	0048-0030	0049-0039	0056-0030	0041-0097	0048-0096	0079-0065	0082-0078	0080-0051	0079-0043	0089-0052	0057-0096	0062-0184	0065-0171	0074-0183	0035-0048	0033-0072	0028-0067	0033-0061	0039-0080	0040-0057	0041-0067	0068-0195	0074-0155	0045-0047	Average	Err
1	5006.321	4398.840	8108.677	5882.828	14679.194	5014.210	17779.973	7007.324	5399.999	7078.854	2606.905	4841.959	3731.927	3598.860	2443.859	5464.692	5247.998	4639.992	5721.359	5336.359	4786.734	6760.650	4699.162	11866.113	13909.456	18555.759	11933.962	4568.462	24259.762	14551.386	7472.270	6153.433	5196.717	5721.096	14271.840	7962.769	859.006
2	5110.986	4948.202	9548.484	7605.337	14228.186	5330.047	17850.188	7032.570	5118.087	6710.684	2510.655	5148.066	4212.126	3227.534	2506.185	5209.603	5457.066	4707.577	5652.459	6406.155	5031.304	5980.656	4150.063	11283.090	11374.607	16979.729	13000.603	4616.587	20963.327	15697.446	6864.000	4931.109	4265.773	5736.612	13250.169	7789.865	789.131
3	5703.477	5295.860	11914.502	10319.011	14421.738	6264.936	18506.582	7803.359	5746.079	7810.197	2792.831	4737.820	3789.519	3532.326	3118.924	6274.929	5515.447	4269.981	5895.977	4487.727	4975.026	6469.007	4151.378	10919.391	12301.343	21779.086	18506.582	5371.335	29289.750	21300.202	7877.519	6665.452	4178.202	5857.319	15534.926	8953.650	1057.047
4	5448.124	5265.091	9971.617	8677.500	15328.488	6514.239	18683.304	7710.002	5248.524	8148.650	2868.043	4944.258	3717.726	3415.564	4035.930	7148.280	5373.965	4755.702	5592.500	4262.092	5162.004	12039.679	4059.861	11108.736	12126.199	20666.950	15124.942	6306.749	39158.017	17619.819	10299.288	5713.996	4698.636	5421.827	14527.718	9175.543	1174.928
5	5203.818	5274.822	8883.675	7443.079	14509.047	7191.935	18507.897	7205.346	4949.780	8766.124	3751.125	4417.512	4087.474	3662.764	3606.486	6683.597	5802.093	5094.681	5821.817	3329.833	5073.906	12401.801	4025.148	11148.182	11101.635	20920.198	13407.167	5821.291	29451.219	15593.044	6788.263	5931.479	4171.890	5628.002	14897.729	8587.253	968.775
6	4937.946	4871.676	9228.440	6298.071	15072.347	8743.770	19427.796	7649.780	5358.449	7965.354	3489.461	4680.753	3921.535	3722.197	4684.961	8767.964	5620.638	4416.460	5557.524	3345.875	4795.938	14175.853	3731.664	11102.424	10999.074	20013.186	13713.274	6841.647	31057.755	17847.558	7999.278	6624.690	4140.070	5679.283	14144.033	8875.049	1014.646
7	5280.607	4748.076	7976.925	6786.422	14664.204	8696.434	18114.218	7463.854	5401.840	7140.128	2702.892	4630.787	3774.793	3699.318	3397.156	7023.102	5534.381	4713.363	5459.170	3113.139	5049.712	15314.813	4204.499	11342.523	11199.989	18884.482	11958.945	5957.251	28393.257	17837.828	8027.417	5947.521	4282.078	5831.810	13585.730	8518.248	953.227
8	5143.332	5021.836	10109.943	7781.532	15106.271	6913.966	16282.311	6930.797	5213.548	7174.052	2554.836	5059.442	3943.362	3409.516	4493.513	7432.297	5693.483	4591.604	5579.088	3656.978	5393.951	12556.169	3841.852	11314.385	10658.779	17569.064	12943.010	5585.399	23776.933	16446.409	6988.389	6438.501	3831.070	5551.738	12817.307	8222.990	825.501
9	4767.799	4916.908	8137.079	6417.726	14822.254	6649.147	16460.610	7338.151	5341.092	6416.674	2267.926	5227.486	3569.406	3620.687	3624.369	6074.276	6060.075	4720.989	5770.273	3497.876	4841.959	13346.419	3961.507	11329.637	11782.223	16554.756	12340.790	5164.897	28345.658	14846.711	9458.283	6147.384	4356.764	5620.112	13654.104	8212.915	899.172
10	5482.049	4886.403	7859.900	6103.204	14674.197	5834.966	18751.152	7159.062	4968.978	7059.919	2017.571	4539.534	4002.532	3538.638	4476.419	7297.915	5605.386	4610.801	5698.743	3546.264	5449.702	9419.888	4505.873	11175.532	11260.474	19180.596	13875.006	5649.566	25349.807	18452.146	8476.847	6542.641	4661.030	5497.564	14572.951	8348.093	907.851
