 	0011-0080	0016-0076	0024-0075	0029-0082	0037-0090	0019-0068	0019-0055	0023-0046	0023-0037	0036-0034	0028-0033	0048-0030	0049-0039	0056-0030	0041-0097	0048-0096	0079-0065	0082-0078	0080-0051	0079-0043	0089-0052	0057-0096	0062-0184	0065-0171	0074-0183	0035-0048	0033-0072	0028-0067	0033-0061	0039-0080	0040-0057	0041-0067	0068-0195	0074-0155	0045-0047	Average	Err
1	11527.134	11478.746	18639.912	14951.903	43903.463	14662.889	46192.164	17704.235	11175.006	15005.287	4201.081	11015.641	9048.825	7166.426	6463.221	11262.841	10743.721	10032.891	13149.448	9315.749	10612.232	15921.767	9352.828	26277.858	29064.641	39140.397	27024.980	14119.050	57933.100	30304.058	19572.434	12004.440	12529.871	12159.860	33101.360	18478.842	2098.297
2	11945.007	12581.678	26323.617	17546.448	43867.172	13541.812	46840.406	17846.506	10795.002	14181.902	4358.868	10723.209	9196.356	6802.726	6157.640	11555.536	11199.200	10110.995	13080.811	10250.374	10939.114	14526.666	8728.781	24688.943	28977.332	37507.038	33858.475	15994.349	55549.726	34517.236	18144.461	12550.383	11935.014	12270.048	31046.972	18861.137	2102.432
3	12453.344	12053.354	24872.502	23819.799	43471.126	13898.674	47073.142	18091.865	11274.149	15221.193	4402.522	11254.426	8754.027	7175.104	7136.972	13658.838	11283.616	9613.966	13448.192	8582.828	10729.784	15581.473	8855.273	24901.166	29738.392	45501.583	39542.491	15029.481	66112.256	40488.425	20273.534	14485.116	11562.636	12689.236	34075.695	20203.034	2400.515
4	14046.205	14750.198	21330.182	20061.048	45515.521	14331.010	47032.380	19175.073	13193.103	15763.454	4756.491	11035.365	8270.935	7060.182	8531.284	13699.862	11226.024	10027.105	12613.235	8182.048	11083.490	20027.913	8666.192	24390.988	29709.201	45718.277	31768.585	15831.828	75495.064	34026.781	22845.464	13594.408	12601.138	12393.648	32574.877	20323.673	2463.573
5	13230.183	14564.535	19867.759	18250.441	43789.330	14978.463	44664.259	17503.845	11661.253	16417.218	5646.410	10696.385	8479.477	7387.328	9274.461	14295.245	11381.181	10837.079	13230.709	6983.130	10760.552	21132.422	8653.832	24832.266	26165.830	42109.161	29744.966	14632.647	59525.434	33409.571	17351.581	12867.272	9601.343	12626.121	31210.808	19078.929	2103.409
6	12038.364	12832.033	21841.149	16506.631	44655.581	15676.408	46364.415	17991.670	11568.948	15905.462	5307.168	11007.489	8562.841	7572.464	10270.097	17751.045	11356.987	10523.609	12751.036	7225.333	10583.305	23702.247	8510.246	24414.393	25903.903	42325.066	29635.041	15416.585	63352.560	35829.236	18973.632	13142.611	10038.939	12306.602	31259.196	19517.208	2206.111
7	12028.897	12729.735	21739.639	16832.724	42703.492	20639.074	45501.583	16952.380	11370.925	14843.818	4300.224	10442.611	8090.269	7402.580	8214.921	14033.845	11289.139	10351.884	12672.668	7243.478	10845.231	27794.192	8483.948	24836.736	27247.460	40655.416	29282.650	15586.996	65282.033	35515.239	19666.580	13092.645	12546.965	12703.174	29892.760	19509.026	2218.075
8	16590.258	16514.258	23505.540	18124.212	41754.140	15951.484	42642.744	17176.174	10572.523	14944.802	4345.456	11743.303	8570.994	7167.741	9293.395	14778.600	11687.814	9887.201	13376.399	7605.600	11150.812	25092.614	8384.542	25457.103	26104.293	41364.669	32898.604	17280.840	60762.222	33329.099	18754.834	14538.237	10138.608	12426.521	31342.823	19578.813	2093.269
9	13305.395	13811.102	24273.963	15672.464	43113.476	17571.168	44291.882	17570.642	11366.980	14262.899	4126.658	11641.004	8668.559	7231.907	8831.605	14008.862	11587.882	10292.713	12729.735	7249.527	10513.615	25527.581	9262.364	24794.397	29472.783	41583.204	32617.743	17226.140	72041.894	32800.513	23571.021	14148.766	12866.483	12542.494	31723.353	20065.736	2332.081
10	15952.536	15974.363	21062.207	15869.960	42514.148	16607.089	44306.083	17165.392	11487.687	14869.064	3823.444	10611.443	8731.673	7131.187	9308.648	14310.498	11670.983	10164.380	12776.282	7667.926	10976.194	19393.083	9714.161	24764.943	26391.728	38957.364	30952.037	13217.034	54874.135	34270.036	18172.863	13550.490	11375.659	12859.383	30828.174	18922.922	1993.769
