 	0042-0087	0052-0100	0064-0115	0055-0111	0080-0120	0071-0120	0063-0102	0051-0089	0051-0078	0075-0049	0082-0043	0072-0041	0063-0041	0052-0056	0051-0064	0049-0070	0062-0055	0091-0043	0092-0052	0083-0054	0060-0070	0074-0102	0069-0110	0078-0111	0060-0083	0065-0092	0068-0080	0076-0088	0063-0181	0063-0199	0070-0193	0071-0177	0105-0066	0103-0075	0107-0083	0109-0092	0097-0094	0101-0103	0092-0110	Average	Err
1	1837.693	16666.785	7120.667	10409.476	10626.433	4661.293	19622.663	11778.542	14944.539	18997.563	3462.637	4031.460	2512.496	3195.714	4707.314	3318.262	8290.133	7079.906	13938.384	6384.065	9842.757	9861.166	4103.516	2819.129	20626.189	16093.755	10716.372	14724.952	3219.119	4215.807	11513.985	2520.648	3688.273	4566.884	5277.188	5432.083	2113.558	3506.818	1917.113	7957.573	873.101
2	1500.555	17257.961	7242.689	10235.121	11826.141	5195.139	18462.402	9912.184	10967.253	18668.840	4231.586	3953.618	2460.163	3143.907	5036.300	3047.657	7864.107	7497.779	15482.330	5298.753	10019.216	10100.739	3972.026	3432.658	19154.561	12745.250	9589.772	11028.790	3272.767	5346.089	12841.764	2459.111	4325.995	5216.966	6732.248	5970.137	2039.398	3628.840	1836.904	7769.172	802.178
3	1726.716	16510.576	8922.859	11018.797	11601.820	4695.743	19849.350	8434.508	13127.621	17708.969	5182.516	3640.937	1912.905	3483.413	6015.895	2842.534	8287.240	7813.090	14428.050	5253.783	12321.592	11179.477	4263.670	3091.049	17702.920	14653.948	10069.445	13285.671	2972.445	4968.715	12682.136	2334.723	3606.223	4844.852	5844.696	5285.341	2360.758	3591.760	1751.699	7929.960	822.124
4	1826.911	17271.898	9638.686	10885.730	11039.046	5065.754	20301.673	6922.382	11086.382	18742.474	3677.228	3495.510	2374.432	3217.278	5761.858	3390.055	7549.322	6167.634	13512.622	5794.993	11576.837	11702.804	4191.613	2754.962	16886.635	12724.738	11216.820	12221.660	3400.837	3934.684	12676.876	2595.860	4335.200	4335.200	5297.175	5625.898	2034.138	3867.887	1800.613	7715.444	812.221
5	1721.720	18835.042	8557.056	11121.621	11057.192	5105.464	21742.269	7295.548	9463.279	19103.543	3335.619	3589.393	2567.196	3883.666	6245.212	3190.455	7505.405	4970.556	9630.797	5538.063	11954.474	13602.297	4322.314	2902.493	17142.250	13347.471	12105.424	13399.278	3352.975	4130.602	12047.043	2445.700	3965.452	4024.359	4984.756	6252.576	2469.631	3186.773	1960.767	7745.019	847.250
6	1583.656	17232.189	7693.171	10721.105	11194.992	4716.518	20076.564	7605.600	9778.328	19817.530	2709.204	3412.671	1964.449	2813.869	5273.507	3108.668	6028.518	3149.956	6376.175	7982.185	11126.355	12359.461	4324.418	2766.796	18582.846	14388.340	10694.545	16023.014	2815.184	4626.054	12256.373	2595.860	3491.039	3705.103	4947.677	5063.124	2104.091	3318.788	1758.537	7440.678	864.723
7	1757.485	19090.394	7871.471	9808.044	11111.102	5266.406	22657.697	7103.837	9659.987	22062.051	2677.647	3523.648	1884.504	2829.385	5224.856	2852.001	6919.226	3282.234	8312.223	7319.742	11262.052	9921.388	4217.911	2735.502	17217.988	12832.296	9559.267	11437.459	2817.025	3531.538	13180.743	2185.877	3497.613	5021.047	5045.767	5462.325	2396.523	3339.300	1868.988	7403.706	879.600
8	1655.712	19861.710	7417.570	10853.646	10725.839	5291.915	23045.853	6809.038	8939.952	20187.277	2701.315	3055.021	1820.863	3129.181	5665.345	3144.433	5830.232	3038.979	7432.823	7127.768	11560.007	10683.762	4284.182	3333.515	19666.054	14455.399	10525.186	14886.158	3022.411	2763.640	13004.284	2567.985	3970.712	5545.427	7316.060	6791.944	2103.565	3582.292	1829.541	7682.733	910.766
9	1424.554	20302.462	7151.173	10887.045	11763.289	5220.648	23769.833	7346.040	8687.756	20692.722	2903.545	3558.887	2659.764	3231.216	5979.867	2965.345	8450.286	2627.944	5961.721	6536.066	12056.773	10725.576	4377.276	2964.030	21424.328	14838.822	10707.430	12294.505	2850.423	2347.083	12960.367	2427.817	4241.579	5856.530	7922.226	7714.736	2020.989	3460.270	2402.571	7838.808	936.057
10	1546.576	19647.646	7888.039	11396.434	11507.411	5095.733	23990.209	7459.910	8741.141	18715.124	2213.753	3387.951	1837.167	3061.069	6347.774	3348.505	9405.161	2261.089	6247.316	6104.519	12825.459	13655.945	4594.759	3236.476	20046.058	17625.867	10405.794	17087.814	2436.758	2051.232	12610.080	2503.029	3464.478	4544.268	5682.701	6364.341	2622.158	3559.413	2036.242	7886.036	966.831
