 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
1	14399.648	11634.429	13861.857	9038.832	4583.188	21262.070	37034.203	10170.165	9055.663	6257.835	5424.719	2485.672	5402.892	7444.920	5174.364	8343.780	7945.894	15625.653	7796.785	6967.088	5694.535	11183.684	4493.776	11248.903	6373.809	2937.469	8396.376	8643.576	4951.884	8988.340	6988.126	5637.206	7580.617	8147.072	8213.869	1840.323	45337.747	10470.750	5467.585	7372.338	10731.624	8371.393	5910.967	5927.534	5788.419	9081.172	6047.452	5755.020	2305.795	3400.048	3983.598	4164.790	4150.326	7575.357	3255.410	7589.558	9198.723	5217.229	3890.503	14067.506	5865.997	5282.448	8507.073	880.746
2	11484.269	11271.519	11452.711	8889.986	4339.407	17548.552	36347.040	12402.590	9223.969	6366.445	5733.982	2384.426	5747.657	9388.331	5700.584	6733.563	7779.428	16454.824	8548.377	7957.465	5861.264	10018.164	4420.931	10886.256	7671.607	3142.066	8014.531	7208.765	4847.745	8772.435	6214.181	4932.424	8429.774	6721.992	7458.332	1463.475	35898.662	8610.177	4727.827	5110.986	9916.391	8385.068	5629.054	4791.204	4024.359	7007.587	5584.084	5177.520	2005.737	2956.404	3628.051	3886.295	4169.786	7953.257	3056.861	6368.812	6394.847	4570.039	3182.039	14704.966	6990.756	7567.468	7969.634	770.598
3	10665.091	11368.032	15099.696	11087.434	4920.327	20001.352	40078.967	11704.908	9480.110	6076.643	5976.711	2389.159	7751.816	8198.353	7142.495	6763.543	7159.851	16258.380	8989.655	7909.603	5880.461	9595.558	4553.735	10719.790	7853.588	3746.391	11353.831	9125.352	5650.618	10227.495	9713.372	5833.651	8550.218	7519.606	8546.800	1883.978	44242.705	7305.015	4011.210	3311.951	10682.710	8791.632	5062.072	5019.470	3356.920	6045.349	5144.647	5341.881	1908.698	3081.055	3769.270	3749.284	4024.096	7680.286	2551.680	6555.527	5447.862	4522.440	3270.926	14368.090	7896.717	8960.728	8481.916	902.729
4	12434.936	11366.717	12264.000	9803.048	4547.160	14991.875	40818.200	12653.997	10118.622	6273.614	5950.939	2593.493	10072.600	7001.801	6420.619	6308.064	8402.687	16968.947	8756.393	7802.308	6101.363	9951.104	4617.376	11610.498	8000.856	3423.190	9433.826	9293.395	5457.066	10400.535	7469.377	5705.317	8701.431	8326.161	6612.593	1326.200	40157.072	6546.060	3742.183	2751.543	10971.461	9237.118	4875.620	4813.032	3250.151	5828.391	5175.679	5099.941	1907.383	3174.939	3483.413	3493.143	3834.489	8224.651	2782.312	5899.395	5294.282	4009.369	2955.878	15786.596	10106.262	6591.818	8257.621	866.129
5	11907.138	11542.387	16731.215	10716.109	4562.413	13879.739	36669.715	10873.107	8894.720	6086.110	6348.037	2520.122	7790.474	6972.874	6136.076	6146.069	8579.672	17743.682	9606.603	8399.532	6410.100	10073.652	4471.686	10281.142	6805.882	2862.520	9075.912	7746.030	4634.206	10182.788	8993.074	6254.153	8999.385	7669.240	8271.198	1690.425	27829.168	6781.162	3341.667	2754.699	10418.943	9040.673	4438.287	4809.613	3126.025	5702.688	5436.553	4961.614	1964.975	2924.846	3764.273	3584.659	3969.134	7802.045	2731.820	6156.325	4949.254	3673.020	2887.240	11032.998	8444.501	9669.455	7882.626	717.152
6	13263.844	12146.974	17919.877	10335.316	4587.396	12616.917	30243.047	9397.798	9874.578	6369.864	7191.672	2575.874	7817.297	7883.568	17080.187	10435.774	11484.269	17568.012	12788.379	23183.917	6191.828	10416.050	4762.803	11212.612	8058.186	5086.792	15395.810	11770.915	6420.356	14785.437	10749.507	6547.111	8785.321	8676.185	8104.207	1416.665	21297.310	10462.335	6692.013	3779.263	15247.490	8475.795	5006.321	5525.177	3180.198	5159.374	4932.161	4779.107	1658.605	3228.323	4028.041	3321.155	4232.901	7507.246	2899.337	7429.404	4588.711	3592.023	2914.590	17893.842	6819.031	7089.899	8949.742	709.328
7	13531.293	10863.640	14574.003	9236.855	4841.696	12302.132	25014.247	9361.770	10021.583	6263.358	6237.060	2533.271	5422.616	7572.201	10400.535	8107.363	12559.325	19229.510	11764.078	14533.504	6291.233	9453.286	4681.805	10559.374	6640.469	3492.354	10565.159	8877.100	4773.322	10888.097	8878.941	6103.204	8503.145	7456.754	7117.249	1785.098	17981.677	9198.723	5579.351	3741.394	16547.130	8747.189	4765.695	5555.157	3347.716	4800.146	4862.471	4896.659	2042.028	4320.999	5522.021	3856.316	4001.217	7662.140	3070.536	6420.356	5081.533	4121.661	3178.358	22864.135	7819.927	8446.605	8207.545	608.220
8	9080.383	9719.420	12338.949	7666.085	3717.463	7883.305	19496.959	9774.909	9707.586	6296.493	6365.393	2594.545	5846.800	7943.790	8463.961	7790.211	12336.056	19011.764	10635.374	11520.034	6456.384	9373.867	5024.729	9361.507	7017.317	3222.801	9281.561	7225.859	4984.756	10260.367	7215.866	4948.202	7681.600	5209.077	7196.668	1995.217	17814.160	7373.653	4022.255	3111.298	14914.034	9416.469	4839.855	4973.711	4428.557	5185.409	5370.283	5386.062	2015.467	4459.063	5216.440	3501.558	4088.263	7731.829	3335.356	6850.063	4953.725	3416.616	3387.162	21137.945	7497.516	7006.798	7517.400	523.648
9	9987.395	10017.112	12591.671	8349.040	4329.677	7019.158	18131.049	9109.836	9846.176	6106.097	6227.330	2579.030	5654.037	6767.224	8776.906	7305.804	12613.498	19059.889	10021.320	9456.705	6334.362	9067.234	4869.835	9858.799	6581.825	3067.907	8391.905	7221.651	4916.119	9749.400	7672.922	5215.389	7398.636	5487.308	7926.959	1763.008	18942.601	12962.208	5276.663	3172.835	22414.968	9426.462	4797.516	5046.030	4152.956	5308.483	5799.727	5130.972	1871.881	3843.693	4714.152	3586.237	3940.469	7773.380	3542.846	15598.830	5048.923	4722.567	3448.699	18343.010	9877.996	13884.473	7937.109	572.195
10	10479.428	10742.670	15492.060	8897.350	3654.611	9539.017	17659.529	9554.007	9144.024	6048.767	6146.069	2334.986	5282.974	6660.192	8654.621	7227.700	11182.895	18554.970	9256.315	9968.461	6297.019	9922.703	4993.961	9497.204	6585.506	3235.424	8348.251	8029.521	4068.803	10958.049	7618.486	5544.638	7780.480	5139.651	6841.647	1812.184	21849.827	12042.309	7838.599	2817.551	22946.184	9927.699	4699.951	7107.256	4089.841	5266.143	5563.572	4673.916	2060.436	3147.852	3997.535	3979.390	3803.720	8126.034	4816.713	14056.724	4809.350	3874.987	3511.288	20047.636	11517.930	9360.981	8049.800	595.239
11	7611.911	10855.750	14947.169	9304.703	5061.809	7495.675	16221.300	9449.079	9353.617	6152.381	6600.496	2626.629	5430.242	7169.581	6576.039	5881.513	10522.557	17615.085	9300.233	7960.621	5642.466	9141.394	4120.872	9381.493	6328.313	3110.246	5765.014	5714.785	4158.741	8965.987	6323.054	4924.271	6977.344	4612.379	6539.748	1682.799	19212.416	9091.165	5357.134	2827.807	15073.399	7958.780	7007.587	7099.629	4783.052	5504.665	6204.976	5565.150	1974.968	4440.654	6133.972	3883.140	3876.828	8059.500	3108.405	8909.447	4719.674	5948.835	3149.167	13824.514	8548.903	9223.969	7274.404	462.271
