 	0047-0077	0040-0085	0048-0088	0050-0097	0040-0094	0040-0072	0039-0067	0047-0061	0041-0055	0049-0052	0050-0044	0059-0043	0066-0050	0070-0042	0059-0099	0053-0106	0063-0108	0062-0117	0069-0123	0057-0066	0048-0070	0057-0088	0053-0081	0058-0077	0074-0082	0075-0092	0076-0099	0072-0108	0068-0073	0039-0208	0039-0217	0041-0225	0048-0238	0052-0227	0050-0219	0039-0199	0040-0185	0051-0187	0052-0178	0044-0175	0058-0158	0067-0154	0071-0160	0080-0165	0070-0168	0080-0176	0058-0218	0062-0227	0057-0054	0063-0059	0064-0081	0064-0091	Average	Err
1	15175.697	8402.950	10130.982	5560.942	4043.031	1854.787	1900.019	13569.425	3225.957	5758.176	6799.308	8360.874	8902.609	2600.331	6217.336	3768.218	2731.031	2388.633	2859.102	40552.328	4084.318	14687.609	4221.856	19350.217	10494.418	10596.717	4576.614	6292.285	18738.529	3060.543	4956.355	4547.423	1573.926	3594.652	3971.501	2972.708	1570.770	1943.148	3227.009	2439.125	3059.491	2581.133	4171.890	10499.152	11242.855	19760.201	5373.965	32283.760	9468.539	11615.232	10940.166	8179.682	7901.491	1031.789
2	16933.182	9359.403	9635.530	5384.221	4236.846	1564.722	1810.870	10298.762	2847.268	5322.947	6647.569	8558.108	7625.586	2533.797	6152.118	3613.587	2999.795	2395.997	2820.444	35615.434	3637.255	14446.721	4969.504	18881.852	12576.155	11095.850	5133.602	6224.174	16327.543	2898.022	5015.262	4979.497	1644.404	3402.152	4516.918	3443.177	1404.568	1919.480	2479.098	2222.694	2966.397	2924.583	5569.095	10637.478	10347.413	19945.074	4583.451	32369.491	9314.697	9827.242	12002.862	7542.485	7723.161	969.579
3	16171.071	9785.954	11203.934	5832.073	4131.391	1566.037	1591.546	10108.629	3329.044	4603.438	5730.826	8142.339	8051.611	2581.659	7571.938	4614.483	3104.461	2729.979	2838.852	34289.497	2995.325	13724.582	4684.961	20261.174	12521.193	12145.923	5109.408	6560.523	18772.979	3677.228	4397.263	4619.479	1950.774	3625.947	4309.165	3427.135	1403.516	1881.874	2460.689	2068.851	3038.453	2605.064	4738.609	10147.286	10650.890	19625.556	5274.033	32159.371	9137.975	9606.077	11772.493	8542.066	7805.281	964.983
4	16402.229	9467.487	10700.067	6287.552	4662.608	1987.328	1970.498	10259.315	2879.088	4399.366	5762.910	8060.815	7472.270	2427.817	6639.417	4120.872	3063.436	2489.617	2729.979	41550.858	5245.894	14087.492	3864.994	19651.064	11265.997	11922.917	5477.578	6458.225	16577.109	3303.009	4735.979	4744.131	1912.905	3712.204	4605.805	3285.390	1375.114	1468.209	2067.274	1951.826	3004.529	3025.041	4491.672	9460.124	10591.983	19425.692	5690.854	32995.906	10405.794	9668.403	11377.500	8945.212	7887.103	1039.306
5	15823.150	7816.245	11089.538	7352.088	4830.914	1866.358	2050.180	12046.517	2815.973	4283.919	6443.235	8641.735	9360.192	2659.238	7868.052	4180.305	3304.061	2574.559	2413.353	35394.532	4666.553	14507.469	3562.832	20786.079	11389.334	10835.501	5159.637	6220.755	17221.144	3641.726	5349.771	4748.865	1905.805	4015.155	4753.861	3056.861	1503.185	1755.644	2153.268	1997.321	3168.890	3072.377	4774.637	10140.712	11398.275	19270.798	5803.671	33288.864	10173.058	9402.005	11731.469	9164.536	7950.658	978.333
6	20489.703	9621.592	11654.942	8118.671	5010.791	1939.466	2217.171	11667.565	2904.071	5236.427	6912.388	8960.202	7475.688	2641.618	7696.064	3909.701	3161.790	2427.817	3025.567	32452.592	3821.340	16539.240	4585.029	18292.781	12278.201	10939.114	4740.975	6232.063	17361.574	3335.356	4805.931	3932.580	1812.184	3500.769	4392.792	2886.188	1557.621	1264.663	2224.535	2286.861	3341.141	3141.278	4495.617	8982.029	10382.126	20036.591	5142.807	31643.145	9227.125	9454.338	14236.338	9896.405	7967.165	957.860
7	16640.224	7986.918	12493.580	8344.306	5608.804	2063.855	2724.720	11669.669	3182.039	4973.448	6417.989	9086.694	7761.546	2661.868	7914.599	3603.594	3118.398	2444.122	2654.241	32476.786	3760.592	14294.982	3811.347	19214.520	11460.075	10640.371	5204.343	6168.422	16065.879	3084.474	4311.532	3684.854	1845.057	3114.980	3581.766	3214.649	1605.220	1480.569	2317.366	2102.250	2953.511	2761.011	4500.350	9729.677	11013.800	21273.904	5058.653	31471.420	9033.047	8810.567	11540.546	8461.069	7719.196	936.999
8	17057.045	7271.091	12607.450	8499.200	5330.047	1696.474	1958.663	10115.992	2885.662	4076.429	6199.454	8650.413	8456.072	2552.469	8148.913	3950.462	3372.962	2842.271	3070.536	30945.989	2948.514	14423.842	4332.570	18199.160	13108.161	11368.821	5198.558	6426.930	16778.025	2957.193	4216.070	3863.679	1719.353	3291.438	3982.020	2830.700	1391.945	1854.261	2312.632	1801.928	3410.830	2837.537	4527.174	8961.517	11241.014	20085.505	5234.849	29717.616	8399.532	9054.874	12437.566	9719.946	7660.026	905.954
9	19230.562	8913.129	13213.615	9102.473	5500.194	1761.956	1973.916	10573.311	2714.464	4409.360	9344.150	12776.019	12136.455	2595.597	7349.985	3934.158	3319.840	2724.983	2817.025	35043.456	2867.517	15176.486	4716.255	19410.702	11210.245	10925.440	5480.471	6808.249	17589.313	3065.277	4354.134	3224.642	1726.716	3845.271	3693.532	2819.129	1610.217	1280.968	1985.487	1959.978	3108.405	2829.911	5086.266	11567.370	12095.694	21125.848	5399.736	31615.532	11827.193	9881.941	12647.159	8803.729	8253.336	999.463
10	20983.839	10104.158	12801.002	10159.120	5159.637	1815.340	1947.618	9010.168	2629.784	3931.528	10305.599	11851.124	8004.275	2649.508	7940.634	4240.790	3441.599	2506.448	3073.429	32010.788	2518.019	16986.304	4831.966	16657.844	11530.553	13009.807	5059.968	6350.141	16835.880	3109.983	4699.162	4268.140	1930.788	3781.104	4073.010	3022.937	1546.313	1652.031	2542.739	2170.361	2941.151	3038.979	5678.494	12022.586	12708.170	21085.349	5712.155	31816.973	9496.415	8907.080	14589.781	9092.480	8235.251	969.060
