 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
1	23055.262	4665.270	14418.207	4963.871	14599.889	54659.317	37365.148	18736.735	40764.663	24009.808	20242.345	1815.673	19347.690	8065.072	7036.878	13045.563	7741.827	12895.690	17503.934	6997.332	11810.184	3724.766	4603.946	9260.619	3804.144	8223.256	18386.266	45567.771	4385.870	6260.575	11234.189	12696.241	4498.490	6158.845	12884.801	12004.761	12732.348	15565.898	11807.318	13516.102	6139.358	14321.852	1800.799
2	23839.876	5486.564	14666.659	5568.235	15273.602	54280.192	38795.391	18910.679	42635.643	23398.280	17306.778	2032.029	20613.159	8129.549	8173.680	13194.004	8916.742	12660.994	16895.844	7599.978	12412.256	3545.090	4645.784	10597.156	4213.358	8421.272	19871.817	48018.471	4650.656	6997.906	13804.386	15232.051	4611.396	7570.462	14950.358	11925.096	11557.434	15934.134	13208.332	13767.992	7434.343	14920.674	1821.466
3	24222.153	5176.215	14801.344	5053.565	16073.977	55533.625	39489.737	19512.178	41768.498	24693.265	17928.909	2192.219	19547.712	7778.794	8549.652	12754.700	8422.704	12306.513	17759.263	8971.189	11868.643	4165.215	4491.326	10747.029	4664.124	8067.938	18864.542	46440.360	3999.294	6855.196	13354.766	13582.012	4556.376	7176.149	17788.206	13871.156	12433.748	17899.107	13765.986	12923.487	7543.238	15063.271	1825.776
4	23955.075	5154.723	15830.397	4871.024	15666.196	55800.130	38111.075	18998.082	41453.851	24571.188	15437.517	2107.682	19650.875	8531.599	8304.926	13528.424	8119.806	12152.915	16193.475	7898.291	12275.851	3992.417	3884.955	10222.616	4938.940	8880.348	19394.400	48693.617	3901.863	6672.368	12119.100	13014.328	4504.221	6996.759	16252.793	14447.150	16577.758	17103.890	12768.169	11859.186	6924.832	14921.044	1842.546
5	24567.463	5530.409	14997.354	4547.206	15787.986	56216.795	37083.168	18659.362	42500.384	21206.061	15379.345	1554.899	20853.300	7800.573	7388.780	13935.346	8472.567	11743.414	14066.879	7961.336	11592.108	3282.310	3638.510	9948.374	4008.178	8908.145	18893.485	46246.069	3834.233	6307.858	9518.814	10876.270	4199.316	6476.645	14740.592	12765.876	14634.277	15217.149	11027.862	10788.581	5818.693	14218.926	1841.907
6	22762.393	5230.376	14559.197	4485.021	15205.400	56223.386	38403.944	19234.784	40344.559	21190.300	16106.072	1368.632	19114.427	7538.366	7188.758	13329.835	8098.887	12042.874	14576.964	7883.677	11796.429	3455.108	3331.313	9329.968	3784.371	8537.044	18238.972	48075.783	3921.922	5467.938	8544.781	10760.211	4378.992	6761.203	13049.289	13104.022	14598.456	14733.715	10078.761	9671.266	6678.100	13980.134	1852.299
7	23315.176	4879.621	14311.892	4850.105	15349.829	55664.585	36509.180	17834.343	40575.244	20696.263	15649.289	1529.681	19117.292	7490.510	8513.832	13515.529	7807.737	11826.231	14184.371	6880.414	12415.121	3510.989	3937.110	11441.662	4423.983	8962.305	18914.978	49287.092	4998.258	5976.590	10663.352	12361.247	4990.808	7075.278	14648.892	12057.775	15531.510	14948.638	10873.977	11220.720	7166.692	14290.441	1821.636
8	23105.411	5299.724	13355.340	4609.104	14486.123	54148.659	34857.708	18522.384	42229.581	25639.787	15377.339	1706.492	20986.266	7630.354	8035.269	13423.542	8523.002	10678.254	14615.937	8017.216	12390.190	3541.364	3342.202	9136.823	4394.754	8178.551	18960.828	46493.947	4221.669	6876.689	11546.544	15171.872	4287.865	6445.123	10530.386	8225.261	11180.028	10842.169	10642.720	11353.686	4551.218	13842.961	1814.347
9	22665.821	5245.564	14710.217	5061.589	15908.056	53598.455	35817.986	19666.063	39499.480	22516.521	16686.939	1472.082	19522.208	7142.621	8259.363	13525.559	7888.548	11621.624	15349.829	7106.514	12477.592	3802.138	3806.150	10143.524	4459.517	8685.484	19367.463	46786.243	4182.696	6116.433	10913.523	11834.255	4586.465	6960.652	11495.536	13969.161	18347.007	14706.778	10973.702	12890.245	6240.802	14292.937	1767.862
10	23357.014	5367.067	16125.845	5130.938	16511.275	56090.133	35821.138	19690.708	39879.178	21606.392	20378.463	2037.760	19643.138	7844.131	8080.546	13465.094	7247.503	10531.246	12723.178	6888.438	12320.555	3035.578	3851.714	10897.762	4566.692	8379.147	19606.458	48599.910	4787.633	5847.349	9519.100	10771.387	4277.549	7478.474	13634.453	11649.134	15021.426	13513.810	10675.675	12399.360	6480.370	14286.164	1830.960
11	23099.680	5702.921	18558.778	5016.025	17448.054	55255.371	36052.109	18656.210	38466.415	20547.249	18911.826	1796.473	19452.286	7689.959	6143.657	13488.019	7393.078	12541.496	13090.554	6229.913	11689.540	2784.261	3461.699	10154.700	3795.834	8690.356	18797.773	47412.960	3520.445	5798.633	8561.688	11370.880	4324.832	6883.280	11337.352	11824.512	13982.629	13487.446	9280.105	9398.457	5895.492	13853.487	1814.566
