 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
1	7857.007	8771.646	10165.958	7867.789	4675.494	4933.739	11531.079	9516.927	9130.086	5644.306	6032.989	2303.691	3522.333	6963.932	4260.777	4660.504	7863.319	19125.634	7647.150	6231.274	5129.132	9361.244	3763.748	8880.256	6682.282	3327.992	5751.076	4612.116	3706.418	8649.887	6264.673	3295.646	5140.703	4402.785	5882.039	1353.550	55326.195	9242.115	2612.428	3787.942	11299.395	8275.932	11169.484	5534.381	5931.742	5634.576	4687.854	5509.924	2244.258	3929.687	4394.107	4220.015	4272.874	8053.452	2866.465	5770.799	5211.707	5545.427	4241.053	21350.168	7356.296	6696.483	7259.257	894.886
2	13507.888	11756.977	15364.253	10107.051	6050.871	5991.438	12457.289	10934.907	10442.874	5473.633	6612.067	2479.361	4445.651	7643.469	5338.988	5980.656	7601.918	19778.609	9876.682	8132.083	10785.009	11933.173	4872.728	10021.583	10706.642	3825.284	10186.996	7326.580	5436.553	13965.207	10317.433	4019.100	5751.339	6261.517	6509.505	2213.753	54897.014	7638.735	2548.524	3422.664	11810.362	8528.128	14541.130	5447.599	4909.545	5390.532	4723.356	5390.006	2209.019	4372.543	4332.833	3904.178	4264.196	7971.929	2784.416	5347.667	5629.580	5948.572	4106.408	19604.254	7993.493	7061.497	8369.149	905.256
3	11209.982	9763.075	14213.459	8483.422	6090.581	5472.319	13280.938	10442.611	9259.997	5736.875	6085.584	2445.437	3312.214	7344.199	4768.588	6332.258	8562.315	19888.534	8282.243	7318.690	7152.225	11754.085	4840.907	9223.180	7839.913	4226.853	7079.117	5078.640	4126.132	9165.588	5634.839	3770.059	5725.830	5312.691	6023.521	1881.348	43714.118	7395.217	3346.927	3558.098	11115.836	8267.516	15952.273	4881.143	6963.932	5299.542	3981.231	5711.366	2326.044	4664.712	4927.427	4197.399	4374.909	7956.150	3206.233	5658.244	5343.985	7501.986	4137.966	13771.129	7733.670	5786.052	7562.925	729.550
4	15232.764	12961.419	22775.774	11488.213	7369.182	7852.799	13003.758	10494.418	9870.633	8823.453	8053.978	2308.425	3346.138	7232.696	5091.000	5731.878	10490.210	20660.902	8505.512	7476.214	6284.922	9589.246	6231.537	9216.343	8770.857	4046.186	6513.450	5972.504	4150.063	9102.210	6467.955	5490.990	8175.211	6996.542	6888.983	2120.658	32785.523	7581.406	3393.737	5003.691	11740.936	14167.701	12359.461	6470.322	9291.292	8501.567	4798.305	8463.435	3042.661	5614.590	5596.181	4289.967	4458.537	8266.202	2662.657	7594.818	6392.480	5988.545	5876.779	10952.789	6977.870	8399.006	8313.830	626.583
5	13406.641	11515.563	29572.452	12203.778	6741.190	10576.993	16750.675	10252.478	9524.290	6932.112	7848.066	2616.110	4235.005	8694.330	5992.227	6160.270	8032.414	21642.863	8142.076	7344.988	5975.659	9948.738	6851.377	9804.625	9407.265	4605.279	7670.292	6271.247	4222.382	10378.707	7020.736	10856.802	22528.049	7288.448	7351.562	1933.155	50116.066	8203.087	3438.443	7654.777	12285.564	11728.313	10762.919	6668.607	12167.224	9858.010	4502.980	6358.293	2788.097	6965.247	4817.239	4608.960	4611.853	8996.493	3801.090	7199.035	10361.877	8641.472	5431.031	20715.601	9674.188	5675.864	9489.212	906.716
6	10000.018	10610.128	28953.401	11864.010	6982.341	10652.468	14161.915	9796.210	9415.943	5993.016	6903.447	2609.798	5690.065	13078.707	5854.952	5919.119	8001.119	20540.195	8141.024	7676.867	5242.212	12921.183	6391.165	9437.508	7299.493	3630.417	7422.304	5495.198	4309.954	11003.807	7309.223	9312.856	22262.703	6347.248	6716.470	1512.389	54905.955	8596.502	3430.028	7104.363	9425.673	8300.652	8557.319	6857.689	8766.387	9218.184	4712.311	5515.447	2870.673	6031.937	4002.532	4154.796	4512.184	7199.824	3385.585	6133.972	10164.380	8564.682	5312.691	17568.801	9078.542	6915.544	9044.283	949.729
7	9542.436	11064.555	20704.030	10269.308	6152.907	10444.189	18669.366	10281.931	9433.563	5860.738	6022.995	2757.855	5189.354	10516.508	5555.420	5516.762	9698.382	21505.325	8451.075	7559.841	5663.241	13385.077	5627.739	10296.921	7219.547	3520.492	6904.762	5988.019	4486.675	9073.282	6151.329	6677.023	15169.386	6491.097	7127.505	2041.765	68358.092	7947.209	3379.010	7909.866	11409.583	8879.993	7169.055	6730.144	5208.814	6517.921	3542.320	5403.155	2507.237	5490.464	3712.993	3748.758	4286.023	7412.836	2999.795	6232.063	8952.838	7589.032	4464.322	24263.969	8446.342	7653.199	8890.894	1117.086
8	11975.775	11836.923	17984.570	12817.044	5864.419	9682.077	39116.729	13583.626	9213.713	5546.215	7271.354	2379.429	4184.250	9584.512	5869.942	5134.128	8650.150	22003.670	8250.686	8580.198	5357.134	15185.427	5863.893	11075.863	6500.564	3825.284	10908.083	10546.751	7106.730	13682.243	17077.557	5595.129	12264.000	7059.919	7575.883	2735.502	59147.008	7359.189	3223.327	7002.327	10166.747	9346.517	7310.275	6293.600	4854.056	5310.324	3815.554	5116.509	2362.598	4630.524	4187.406	3329.307	4444.336	8020.843	2946.148	6132.920	8666.718	7069.650	4101.412	16998.927	7234.537	6373.546	9311.834	1083.214
9	15631.176	11854.542	13842.659	9869.055	6383.276	8714.317	29855.417	11923.443	9688.126	5891.769	6987.863	2539.320	3552.839	8934.167	6031.411	5441.550	8307.489	20812.903	7636.894	7735.774	5323.999	18642.279	5491.516	13481.064	6526.336	2994.799	9175.055	6813.509	6776.429	11665.461	8774.802	4931.109	9377.548	6799.571	5755.020	1360.650	66924.070	7882.779	3274.608	6177.101	8333.524	7342.358	7345.777	6172.630	4966.611	8038.462	3981.231	4907.967	2175.358	4039.875	3560.202	3328.781	4167.682	7421.778	2945.622	6135.813	7714.999	7295.548	4265.773	15989.353	6659.929	6121.612	8753.106	1120.403
10	13503.417	13437.410	12695.022	8496.571	3957.300	6156.062	19529.042	10524.660	9720.209	5609.593	5960.406	2656.082	3852.371	7737.352	5255.887	5198.295	7685.282	20839.201	7728.148	7529.862	5219.333	17551.970	4155.059	11249.692	6829.550	3408.464	7079.906	5394.477	4972.133	9695.752	6997.593	4475.893	7010.479	5644.832	5983.286	1431.392	67291.451	7551.163	6028.781	5751.076	20947.022	8906.554	6054.553	4994.224	4638.151	5776.059	3396.630	4704.421	2185.088	3282.234	2829.911	3330.359	4073.010	7439.397	2861.994	6402.473	5340.566	5649.829	4131.391	21262.333	7829.394	7545.115	8312.503	1119.218
11	13508.151	12487.006	11899.512	8907.869	4956.355	5928.323	16875.064	9868.529	9686.285	5947.784	6138.706	2755.751	3280.656	7201.139	5504.665	5123.872	7472.270	21738.061	8536.280	7055.975	5581.981	12357.620	4597.389	10509.145	5528.859	3330.359	5876.253	4985.808	4551.368	8517.346	6323.843	4106.145	6149.225	4993.698	6154.222	1076.371	55530.266	7402.054	5405.522	4253.939	18110.011	9188.204	4980.549	4596.074	3980.705	4965.296	3311.425	4985.545	2271.608	3503.925	3326.940	2929.843	4009.895	7829.920	3020.570	5254.835	4767.010	4932.161	3899.181	20977.002	8017.950	6902.921	7707.504	942.816
12	8462.646	9653.150	10253.793	8554.163	4770.955	6035.355	14517.725	9434.089	9508.512	5689.539	6290.444	2704.470	3716.937	6584.454	4865.890	5039.193	7710.791	20516.001	8172.318	7539.329	5482.312	12370.769	4188.721	10049.721	6652.829	3890.766	7069.387	4720.726	4330.203	9580.042	6094.788	3953.618	5946.732	5027.096	6194.720	1409.564	37429.196	6666.241	3380.062	3205.970	15518.621	9752.030	6515.291	5071.013	3490.513	5188.302	3603.594	4230.271	2048.602	3479.468	3165.209	2744.706	4456.696	7620.063	2493.562	5331.099	4768.588	6992.597	4024.622	18725.380	16400.388	8946.264	7294.034	694.869
13	8572.045	10682.185	10794.476	7814.931	4069.854	5029.200	13526.822	9411.736	10003.174	5415.778	6419.830	2272.134	3232.268	6587.610	5163.056	5462.062	8251.738	20362.684	7842.806	7754.708	5767.380	12581.152	3921.798	10157.543	6416.148	3580.715	8906.291	7327.368	6031.674	11523.453	12670.828	3760.329	6034.303	4795.149	5883.091	1149.216	24762.051	6991.545	4244.998	3116.821	14459.607	10020.794	6042.982	6030.885	3357.446	4339.670	3770.322	4957.407	2419.928	3176.517	3349.031	2819.392	4222.645	8119.197	2375.484	5270.351	5414.726	4854.319	4063.543	14871.431	11260.474	8569.416	7129.944	544.022
14	7265.569	10617.492	11394.593	7741.822	5274.033	5731.878	13477.382	10017.638	9500.885	5104.412	6202.347	2519.597	3151.534	7310.538	4660.241	5743.712	8244.637	20362.421	8033.466	7506.194	5797.360	12152.760	4216.859	10592.509	6325.421	3785.049	6967.877	6406.944	5156.744	9380.704	9889.042	5066.806	6229.433	4839.855	6634.946	1295.958	21107.176	6562.627	4033.826	3320.103	11745.143	9688.915	5575.932	5196.191	3602.016	4426.190	3324.837	4319.421	2277.656	3198.081	3355.079	2719.986	4143.225	7823.346	2425.713	5679.546	4823.288	4101.675	3808.980	14811.735	9731.517	7673.185	6839.904	491.196
15	7347.092	10215.661	10648.523	8518.661	4828.810	4941.628	13057.932	10039.465	9977.139	5539.378	6288.078	2670.809	3421.613	7729.200	5009.739	5131.235	8609.125	20834.204	8321.953	7700.272	6505.561	11208.404	4467.215	10037.361	6173.156	3599.649	9026.209	8521.028	6845.066	11322.274	13228.079	4747.287	6508.717	4996.853	7371.023	1809.029	18222.829	7483.315	5233.534	3690.640	14777.022	8908.658	6222.596	4765.695	4229.745	4064.069	3608.590	4857.475	2143.274	3825.810	5319.791	3179.409	4457.222	7944.842	2466.212	5190.143	4752.021	4650.511	3729.560	19121.163	7586.665	6954.465	7170.688	501.235
16	8250.686	10107.840	10772.123	8130.505	5321.895	5131.761	12165.120	9802.259	9467.750	5344.248	6450.861	2380.481	3322.470	7418.622	4978.708	5614.327	8485.263	21015.397	7971.666	7496.464	5734.508	11991.554	4268.140	10956.997	6593.133	3738.765	9846.702	6536.855	6391.428	12391.018	7797.837	4558.731	6224.174	4779.633	6279.925	1510.022	17021.543	8278.824	7418.885	3673.809	12799.424	9175.581	5999.853	6216.022	3573.877	4839.592	3686.695	5294.282	2288.964	3511.288	3700.633	2940.888	4310.217	7470.166	2735.502	5220.385	4748.339	6322.002	3764.273	14604.245	7673.711	7992.704	7007.896	458.452
17	10569.367	9571.101	12671.091	8323.794	5090.737	6135.024	12706.856	10232.228	9398.061	5891.769	6228.382	2378.377	3186.247	7139.602	4482.731	5821.291	8101.314	20936.766	8128.927	7233.222	6101.889	11452.974	5255.624	10883.626	6662.033	3709.048	8116.567	6106.885	5416.041	9722.576	9095.373	4630.262	6416.148	5086.529	7779.428	2301.587	15253.539	7404.421	5071.276	3401.363	10824.456	8547.063	5900.973	5856.793	3902.600	4819.343	3625.421	5352.926	2408.883	3952.566	4224.486	3045.290	4267.351	7758.127	2604.276	5083.110	5142.018	4715.992	3987.016	11606.817	7502.512	7911.181	6889.246	427.956
18	13933.124	10333.475	11843.497	7774.958	5320.580	5260.621	12509.096	10119.674	9651.046	5713.470	6246.527	2649.245	3256.725	6958.147	5014.473	6214.707	8426.881	20366.892	8440.556	7534.070	5693.483	10515.193	4531.908	10592.772	6832.969	3764.799	7754.708	5513.606	4707.314	10615.388	6956.043	3949.936	6003.009	4857.475	6499.512	1512.389	14086.178	6747.764	3191.243	3257.777	11932.384	9377.022	5695.850	5923.064	5254.835	5143.069	3425.820	4806.457	2195.607	3722.723	4089.578	2689.218	4253.150	7926.170	2842.271	4991.331	4859.579	4923.220	4150.589	11608.132	6846.907	6775.640	6751.352	435.695
19	11555.799	10786.850	11582.097	8225.440	5726.882	5603.545	13045.309	9875.104	10048.669	5583.821	6457.173	2597.438	3888.925	7758.916	5195.139	5853.900	9802.785	21539.250	7858.848	7943.790	5728.985	13219.927	4377.802	11236.280	6888.457	5584.873	6731.722	5512.291	4663.923	10169.902	7103.574	3619.372	5445.232	4788.312	7924.855	1600.224	14997.135	6542.378	3171.257	3512.603	12513.040	8828.712	6009.058	6254.679	5076.536	4789.626	3883.403	5092.841	2422.294	3842.904	3772.689	3000.584	4340.459	7560.893	3418.457	5354.241	5198.032	6768.276	4206.603	11358.828	6969.455	6146.069	6944.459	446.235
20	8351.407	9847.228	11431.147	8425.303	5268.247	5628.528	12505.414	9663.932	10186.470	8586.509	7758.653	2151.690	3929.950	7504.879	5297.175	6350.667	11921.339	21385.933	8658.828	8146.283	5635.628	12992.713	4363.338	10417.891	8656.199	6500.301	7598.762	5298.227	4946.625	10633.534	7629.794	3370.332	5353.189	4773.848	6511.083	1438.755	15216.459	7164.059	2999.795	4591.341	12440.458	8885.253	6639.417	7083.324	4670.497	5260.884	3694.847	5343.722	2440.440	3631.732	3389.529	3277.763	4369.124	8367.711	3055.810	5862.316	6461.643	6390.113	4435.394	13921.290	6491.886	5345.563	7105.648	449.946
21	7650.043	10657.728	11425.625	7966.406	7610.859	8671.451	13231.235	9593.454	9868.003	8507.879	7718.154	2440.440	3257.777	7141.180	4857.475	6011.950	10029.998	22008.403	9219.235	8084.483	6053.238	15002.920	4268.929	9821.719	7505.931	5749.761	8270.146	6123.979	4599.756	10724.787	7138.550	3694.847	5284.815	4645.251	7724.466	2185.351	40080.545	7622.956	2612.428	4437.235	12310.547	9107.996	6572.883	5928.323	5856.004	6999.697	3754.806	8759.286	3402.678	4194.506	3701.685	3200.448	4330.466	8199.931	3055.810	6676.234	5636.154	6149.751	4728.615	21188.436	6313.850	5823.132	7828.881	708.653
22	11334.634	9573.204	10763.708	7677.656	6507.139	7802.308	17741.578	10090.220	9451.708	6265.724	6361.975	2622.684	3853.686	8236.222	6040.352	6120.297	8558.634	21726.227	9687.863	7869.104	6421.671	16004.868	4898.237	11616.810	8245.952	4029.882	9635.793	8815.301	6744.871	14162.704	18169.181	3692.217	5946.732	5637.206	7559.578	1655.975	66277.406	6698.587	2639.778	4989.753	11606.554	9291.817	6719.625	6254.679	7546.430	7830.446	4068.803	6282.555	2821.233	7509.350	4884.825	3635.151	4411.989	7998.226	3256.725	5565.939	8579.409	8740.615	5210.129	25906.533	6540.011	5524.914	8908.280	1088.353
23	12267.419	10900.720	10944.374	8075.279	6130.291	11041.676	21149.779	9860.640	9579.253	6253.890	6831.391	2368.121	3857.894	8055.293	5260.621	5408.152	8833.446	23294.631	11683.606	16175.804	6830.339	21907.682	5061.020	12367.087	7100.418	5309.272	15220.930	9404.635	7667.926	22344.227	14838.822	4439.339	6007.480	7327.894	9110.625	1989.169	79224.098	7027.573	3300.117	5461.010	11432.988	9165.325	6072.172	6187.620	5286.919	7318.690	3794.779	4877.461	2574.296	5021.047	3470.790	3106.827	4131.128	7805.726	3151.534	5645.358	9666.562	7436.242	4578.981	28311.471	7619.800	9670.243	9778.031	1322.197
24	15290.882	12085.175	11493.473	8480.266	8887.357	29436.492	23711.978	9781.746	9831.449	5934.372	6874.783	2465.686	3367.176	7040.459	5044.453	5572.776	8748.504	22973.534	10503.359	14114.842	6543.956	24824.376	5702.162	14476.964	7579.039	4422.246	16189.216	11702.541	8232.277	19191.115	14813.050	5427.612	7338.151	8878.941	9073.808	1414.561	79331.656	7951.679	3196.503	4826.180	10581.201	9300.759	6663.874	7150.910	4040.138	6197.613	3568.092	4393.844	2429.132	4305.746	3535.745	3055.810	4743.079	8196.512	2962.189	6317.268	7181.941	8124.456	4780.159	25890.228	7695.275	8473.166	10199.063	1362.031
25	17248.756	12089.645	11038.520	9012.008	8172.055	21750.684	26595.010	9516.664	9488.262	5731.089	7383.120	2408.094	3656.715	7333.943	5395.003	6650.988	8549.692	23199.959	8510.508	11004.596	6249.157	22261.914	6434.031	14992.401	6542.904	4404.626	13955.740	13733.786	7820.979	15872.064	22662.168	7512.242	14058.565	10572.785	10326.375	1555.255	82525.003	7936.427	2839.641	3968.871	10044.462	10050.247	6282.818	6267.828	3192.032	5888.087	3696.688	4630.524	2153.531	3891.292	3377.958	3456.852	4378.591	7727.359	2919.324	5433.135	8235.959	8966.513	4051.972	26502.968	8020.054	9292.343	10313.238	1397.011
26	14608.716	12203.515	10429.725	7600.340	9630.797	35780.847	33224.697	9962.675	9684.444	7454.913	8031.625	2628.470	3700.107	6984.182	5266.669	7822.294	9861.166	21786.186	9387.016	25687.472	6597.866	25223.841	6115.827	15569.639	7851.485	6974.188	19728.380	11004.070	8185.993	18816.897	14074.606	6384.591	10008.960	10615.388	8771.909	1203.389	81406.556	7547.218	2976.653	3864.731	9131.927	8802.941	5571.461	4460.903	3549.683	5071.539	3841.063	4628.421	2132.492	4238.161	3861.050	3135.229	4193.191	7904.080	2600.068	4742.027	6692.276	6116.616	4261.303	25477.878	6683.071	5988.282	10608.737	1472.192
27	17298.196	12570.633	11203.934	9003.593	10450.501	42902.567	35592.818	9806.203	10277.461	6232.589	6746.449	2281.075	3218.067	6642.836	4970.030	6490.308	9540.595	22944.081	10602.502	17876.749	6906.077	26992.371	5698.743	13976.778	7074.909	4617.902	13594.145	11313.333	7400.739	14538.500	16076.924	5859.949	8362.978	10175.425	11436.144	1496.347	79891.800	7550.111	2896.182	3917.327	10579.886	8825.031	6354.874	5093.893	3361.653	4494.039	3579.926	5022.099	2114.873	3577.296	2962.978	2922.217	4637.362	7984.815	2505.396	5375.279	5920.960	5971.452	4371.228	17811.267	5871.257	9325.479	10404.696	1474.464
28	12179.847	10374.237	10224.602	8362.715	7017.317	27777.624	21253.918	9464.331	9851.962	5355.293	6693.327	2503.818	3025.304	6845.592	4799.883	6117.931	10249.585	22368.158	9306.544	12783.645	6451.387	22524.367	4794.360	12806.261	6820.083	5464.429	9070.916	8677.237	6421.934	10562.266	12882.262	4759.647	6598.129	8285.136	7462.539	1332.775	67219.395	10666.143	4381.747	9332.842	12448.085	9530.076	5158.585	5075.221	3831.596	5342.407	3616.217	4978.971	1994.166	3937.576	4251.573	3018.204	4639.466	7907.499	2488.039	6277.296	5457.855	4985.808	3959.929	16927.660	6113.197	12437.566	9152.363	1148.653
29	8722.995	10581.990	9889.042	7271.880	5699.269	14014.384	18102.647	10232.491	10041.043	5540.167	6237.323	2404.675	3288.808	6843.225	4912.437	5105.990	10672.980	22474.927	8705.113	10582.253	6218.651	18030.065	4547.686	12160.649	6313.587	3615.691	7259.783	8119.986	5271.140	9325.479	10202.512	4377.802	6143.702	6653.881	6755.653	1377.481	49005.771	9454.601	5819.187	13868.168	11673.613	9061.974	5674.286	5329.258	3324.311	5343.196	3501.821	4529.015	1824.544	3377.695	3621.213	2942.203	4224.486	8150.228	2224.798	5884.932	5373.439	6417.726	3861.838	13891.836	6067.702	9902.190	8097.539	844.073
30	7585.876	10322.167	9700.486	8274.091	5241.423	6675.182	13396.648	9575.571	9863.270	5381.065	6307.012	1775.367	2570.088	6504.246	4597.652	5448.124	10078.649	22932.772	9038.306	8346.147	5291.652	12576.418	4064.595	10609.077	6995.490	4879.039	9263.942	6108.726	4884.036	12261.896	7642.680	3745.865	5752.128	5109.145	7054.397	1441.648	30655.135	7364.711	2735.239	5056.813	11666.776	10048.406	7051.241	3276.185	3861.313	4927.164	3530.486	4925.586	2087.786	2079.897	2406.779	3001.373	4155.059	8001.645	2572.981	5020.259	4436.446	4674.705	4076.692	16052.204	14031.478	7371.286	7199.396	619.862
31	7064.653	9242.903	9817.248	6100.574	6370.390	7792.840	14528.770	9565.841	9910.869	5684.542	6694.642	2283.442	2091.205	5485.467	5105.464	5709.788	10028.420	23077.937	9284.980	9592.928	5500.720	13423.209	4080.900	10728.995	6647.832	4331.781	11111.628	6718.047	4439.339	13442.932	9436.456	3560.465	5690.854	4447.491	7472.007	1771.423	32243.524	6860.845	2767.585	3352.186	11771.178	12381.025	6604.967	4320.999	3702.737	5436.816	3391.896	4974.500	2332.356	2609.535	3377.695	3004.529	4152.956	8041.355	2764.955	3095.519	3999.376	4906.389	3856.316	14105.638	8030.310	4340.196	7171.974	637.904
32	7480.422	10672.454	10233.806	8080.802	5488.360	6721.203	13428.994	9808.307	8917.073	5727.145	6716.995	2546.946	3354.553	6541.063	5787.893	6346.722	9208.190	25264.339	10513.352	9097.476	6675.971	16592.888	4595.548	11774.860	7289.237	5803.671	13647.792	10042.095	6345.933	14113.264	12989.031	3676.702	5404.470	5915.700	7234.011	1703.574	28458.213	8266.202	2148.008	3288.283	11801.421	11776.701	7113.304	5771.062	3803.194	5358.186	3448.962	5898.607	2276.341	3515.496	3602.016	2949.566	4400.944	8538.384	3857.894	6305.171	5100.993	7441.238	4254.465	12131.985	12528.819	8377.441	7873.447	615.530
33	6875.834	10143.342	10441.822	10310.333	5811.035	7967.721	12700.807	9428.303	9760.445	8536.280	7256.101	2351.816	3146.011	6714.629	6433.768	6816.927	11080.071	24780.985	10517.034	9495.626	7595.081	16791.963	4478.260	11302.288	8808.200	7634.527	13394.807	9585.301	7392.850	13422.157	16268.636	3579.137	6338.570	5043.138	6835.336	1348.553	23885.280	7869.893	2515.126	3409.516	13615.446	20129.685	6065.598	5169.893	3398.996	5695.324	4116.402	5094.155	2270.030	3211.756	3364.020	2954.037	4302.327	8015.583	3804.509	5911.230	4967.926	6534.225	4052.235	11333.845	13600.719	13154.445	8206.934	623.471
34	6751.972	9786.480	9780.168	9031.206	7426.774	5988.808	12465.967	9059.345	10148.864	9232.910	7976.399	2454.115	5311.376	12346.838	5420.775	5924.904	11654.416	22839.678	9359.403	9024.631	6778.269	20550.188	4222.908	11506.885	9731.780	6146.069	10503.359	8224.388	6624.164	12753.929	10873.370	4064.858	6231.011	4900.603	7201.402	1502.922	32453.907	11971.305	6642.310	3140.752	11667.828	17277.684	5574.617	5560.153	3157.319	4948.465	4189.510	5029.726	2094.097	3288.283	3857.368	3123.395	4783.578	8247.004	3761.644	5581.718	4620.005	6525.284	3773.215	17269.795	15677.723	10086.801	8356.526	676.411
