 	0034-0068	0036-0061	0052-0084	0061-0080	0083-0076	0085-0067	0095-0048	0091-0040	0094-0029	0084-0033	0078-0027	0072-0023	0067-0021	0060-0019	0051-0020	0051-0027	0042-0030	0032-0029	0038-0038	0048-0038	0036-0046	0028-0045	0034-0077	0021-0058	0058-0031	0053-0035	0044-0046	0043-0055	0034-0053	0054-0046	0050-0053	0049-0077	0042-0080	0041-0071	0096-0058	0094-0066	0044-0156	0035-0165	0029-0172	0031-0182	0051-0151	0056-0146	0077-0212	0068-0202	0085-0205	0094-0210	0085-0215	0082-0222	0074-0225	0069-0232	0071-0238	0080-0232	0089-0230	0096-0226	0059-0202	0062-0192	0060-0209	0068-0212	0093-0200	0057-0156	0061-0164	0066-0174	Average	Err
1	15494.953	11768.023	8716.421	6348.563	3767.166	4692.324	11378.025	10953.315	13599.667	6028.255	6488.993	2180.354	5128.080	12034.420	5199.610	6623.638	7987.181	16951.328	8803.466	8383.753	6804.567	8695.908	4630.787	9996.337	8072.912	2762.063	8601.499	6581.299	5200.399	11154.494	10352.147	4401.996	6967.088	4619.216	5524.914	1453.745	20171.499	7059.393	5200.399	8698.801	8513.664	6933.164	4457.222	5157.007	3735.346	5767.117	3650.141	6471.111	2436.495	4236.583	5001.061	3694.584	5297.964	10445.504	3178.358	7086.217	5377.120	6277.296	3235.424	9253.160	9663.669	7195.353	7202.267	452.160
2	17650.061	15688.768	8884.464	7290.551	4433.817	4663.923	10956.734	10453.656	13903.933	6127.661	6649.673	2287.124	5018.155	9813.304	5371.598	9011.219	8216.236	16458.506	8554.426	8882.360	8361.400	9444.608	5323.736	11643.371	9571.101	4554.787	9640.790	8502.882	6051.134	11307.810	10097.846	4151.904	6370.916	5156.218	5406.837	1418.243	18039.270	8102.366	4599.756	6425.352	8587.561	6782.740	4186.091	5857.056	3619.109	5444.443	3448.699	6625.479	2511.970	4716.781	5137.284	3565.988	5017.892	11150.286	3030.564	5605.649	6395.636	6679.653	3516.285	8568.890	11830.348	11212.612	7548.024	465.126
3	11375.922	16011.443	9783.850	6648.358	3644.092	4096.941	10967.253	11539.494	14088.807	6274.929	6218.388	2556.939	5623.268	10231.702	5469.952	7556.686	9067.497	16805.901	8494.204	8971.247	7667.663	11396.434	5212.759	15055.253	9727.573	4724.408	10619.333	8394.009	6778.006	11688.603	8593.347	4257.884	6657.562	4746.761	5354.767	1322.519	16049.838	12335.530	6523.443	7422.567	9281.035	8360.611	4215.019	6017.210	3781.104	6336.992	3473.156	6267.302	2486.987	3629.892	4556.628	3857.894	5497.564	10625.907	2520.648	8774.013	5088.633	6087.162	3354.290	8732.462	10472.328	7523.024	7595.081	454.008
4	9959.783	12079.915	14070.136	6968.403	3916.275	4540.323	10536.494	12268.471	15456.821	6246.264	6261.254	2547.472	4486.675	7972.455	5397.633	7059.130	8515.768	17088.339	8405.317	8079.224	9080.120	11228.654	4985.545	13504.732	8126.560	3452.381	9353.880	7135.131	7532.229	12304.236	9783.061	4795.412	7469.114	4889.821	4816.187	1363.543	14013.070	8765.598	4066.173	4446.177	9149.283	9287.610	4273.663	7847.014	3618.846	5343.722	3891.555	6552.371	2411.512	3374.013	4225.538	4013.577	5567.780	10993.551	2627.681	6927.115	6250.735	5541.482	3401.100	7794.155	6875.046	7088.847	7258.451	435.684
5	14613.975	18242.289	15454.980	6900.554	3773.741	4467.741	13268.052	13572.844	15153.870	8400.058	7835.180	2804.139	4897.711	8243.848	5792.100	7759.442	9814.619	18136.835	11867.954	8446.079	7841.754	10476.272	5081.533	14266.581	12401.538	4540.586	8990.444	9276.565	6482.156	16313.605	9245.007	4887.980	7455.702	4539.271	7734.722	1613.373	13212.300	7332.628	2888.292	3514.707	9772.542	8799.522	4243.157	6515.291	3766.903	7283.977	4161.634	6683.860	2348.661	3816.606	4197.925	3609.379	5631.420	11270.993	3518.389	6988.389	5051.290	6738.297	4593.445	7532.492	6833.232	5662.189	7847.752	512.436
6	10884.152	13095.801	11912.661	6397.477	3472.630	4846.430	12133.826	11659.938	14258.165	6618.116	6549.741	2342.349	4579.244	8321.427	6790.103	9856.958	8623.852	17098.596	9810.937	8328.527	6303.330	11215.768	4815.135	15822.098	12594.564	3827.651	9012.797	8057.660	5321.895	12750.510	10995.655	4117.191	6622.323	5687.435	6748.553	1517.649	12718.164	7384.698	3663.027	5979.341	9873.000	8452.390	4687.065	9683.655	4031.460	6919.226	4265.510	7998.226	2903.808	4611.590	4061.965	3965.189	5352.663	10374.237	3170.731	5723.726	5550.686	6365.656	3852.634	8996.230	8991.233	7576.409	7582.962	439.297
7	17391.817	13871.324	13466.337	7208.502	3827.914	4586.344	11582.886	10724.787	13470.808	7234.274	7453.598	2498.558	4774.637	8079.750	6502.931	9887.990	8418.992	16705.180	11474.276	9420.414	6714.366	18979.155	5412.096	12368.665	14976.097	4788.575	9026.735	7448.339	4863.260	12818.095	9832.501	4668.656	6277.296	5330.047	7448.339	1585.234	12922.235	9290.503	3228.323	4485.886	11535.813	11167.643	4814.083	7001.012	5168.841	8156.277	4867.205	9096.687	2462.793	5136.758	4007.529	3739.554	5198.032	10867.321	3125.236	9161.380	5604.071	8638.842	3930.213	10713.216	8048.192	12496.736	8161.019	498.122
8	21800.913	16725.692	14027.007	7980.870	3864.731	6192.879	12100.164	12408.112	14623.705	8807.937	7926.696	2563.777	5176.994	7150.647	6796.941	10641.949	8617.541	17626.656	11528.712	9583.987	10338.472	17708.706	5238.531	11543.965	14644.218	4958.722	7668.189	8781.902	6335.151	14956.373	10565.948	4554.261	6724.096	5563.835	6512.924	1663.076	11817.462	8401.635	3597.545	5124.661	9307.070	9719.420	4905.863	6679.653	5831.284	7747.871	5148.855	9040.936	2772.582	4084.581	3972.289	4159.793	5692.694	10411.054	3915.223	7091.214	7586.402	5969.085	3893.922	8132.083	6651.777	7463.854	8274.566	521.534
9	19990.307	14301.820	10993.814	7026.258	3982.283	7026.258	12087.541	10661.935	14355.467	7540.381	7201.139	2651.875	9502.463	10136.504	7236.904	8597.291	9275.250	17526.988	13046.624	9946.634	8761.127	17313.186	5458.644	11729.102	13922.342	5285.604	10847.335	8076.068	5249.313	13268.315	8208.346	4516.655	7004.694	5409.730	6072.172	1943.148	15451.562	6982.867	3669.075	7179.575	11251.533	10639.582	5177.783	6685.964	4865.364	7396.795	6926.063	9026.998	2672.387	5381.854	5488.360	4092.997	6168.159	10817.881	3751.125	6257.046	5865.471	6558.945	3906.808	12919.868	8208.083	6943.946	8394.187	492.213
10	26247.879	18897.894	17485.437	7339.991	3759.540	9065.656	12514.618	10838.131	15227.767	8107.363	7701.324	2635.044	8590.454	8728.255	6384.328	10337.683	8594.399	17888.057	11031.420	10346.098	8057.134	19428.848	5742.134	14024.904	18561.808	5693.483	10720.579	9004.908	5639.047	14635.540	11862.695	5668.500	7908.288	6989.704	8467.117	2995.062	30182.562	8488.681	5504.402	11122.673	11591.564	10299.814	5298.227	7169.055	5580.929	9420.414	6604.178	9241.326	2718.408	5035.511	6391.691	4244.209	5681.912	11123.199	4588.448	5837.070	8554.952	8427.144	4059.072	21443.526	7715.525	8434.771	9707.748	690.544
