 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
1	12084.712	5524.964	21665.997	6036.768	10044.373	12918.042	13283.412	5938.190	3381.461	4557.522	7984.547	3640.802	6760.057	5351.592	4309.644	4311.650	5359.616	5787.744	6025.306	11335.919	14569.800	2445.255	3671.465	4936.074	3747.118	2659.032	4885.639	4703.957	2669.349	2802.028	3276.865	3941.982	2111.121	4014.482	12339.755	9341.144	10542.422	11418.163	6116.720	6420.765	6963.518	6826.316	641.753
2	10171.894	5941.056	19181.483	5969.426	11151.085	12114.229	13911.561	7104.221	4293.883	4959.286	6756.905	2495.117	6781.263	5549.895	3717.028	4554.657	6508.167	7791.116	6086.344	9558.646	20112.531	2285.925	6755.472	4443.183	4715.419	2455.571	5000.837	4912.862	3267.982	2708.035	3100.628	6368.037	2553.863	3349.939	11549.123	13300.033	9907.682	12264.102	12097.608	8789.220	5483.985	7317.544	668.278
3	11128.160	8214.085	22969.866	6218.737	10700.033	12416.268	13826.452	7396.803	4190.146	4994.246	5840.758	1707.925	7694.831	6377.493	4142.577	4145.442	6112.135	6708.475	5612.366	8049.311	16898.137	2563.320	6530.232	5836.746	4159.197	2412.873	4721.724	4932.922	2879.400	2020.280	2623.212	4079.819	2103.957	7093.905	8384.591	9306.469	13138.697	6854.623	5334.112	6029.318	4694.213	6854.728	659.284
4	9809.677	7320.577	20320.863	5554.767	10029.758	12146.610	12108.497	5944.208	3332.172	5095.404	6130.188	2667.343	7845.850	6162.857	4008.751	4257.203	5966.560	6711.341	6314.736	6658.613	17525.713	3017.238	5602.336	5139.535	3608.994	2561.027	5387.413	5369.359	2411.154	2141.497	3864.323	5877.152	2235.776	5525.824	7868.489	7844.417	9536.008	10101.686	6316.455	7983.974	5361.336	6674.773	583.892
5	11117.557	6923.972	21085.131	6450.567	12011.925	14932.877	10959.660	5424.093	3086.873	5136.669	7381.329	3381.175	8115.221	6665.491	4121.084	4388.163	6487.534	6549.432	6493.552	6629.670	15589.970	2725.515	5026.055	4757.544	4193.299	2441.243	5380.249	5846.776	2849.884	2133.759	3148.198	4597.928	2101.091	5487.711	8914.449	8202.623	8744.230	11036.173	6057.114	6450.567	6498.710	6817.684	605.907
6	15395.106	6271.465	26954.545	6485.815	13033.241	16059.649	14308.740	6198.964	2984.569	4940.659	9180.954	4378.992	7780.227	6085.771	3723.046	4144.869	5981.175	6014.416	6016.995	6089.210	19228.193	2271.597	3877.218	4949.542	4470.980	2290.510	4974.187	5228.083	2717.205	1880.436	2983.996	4434.013	1744.891	4353.488	9108.453	13362.217	17495.910	10255.858	5989.485	6554.877	5375.091	7453.040	838.827
7	34282.573	5600.617	38101.619	6287.226	11834.255	17167.507	17045.431	5986.046	4290.157	4424.270	9813.402	3921.635	7790.257	6099.526	4139.425	4236.856	6245.387	6202.976	5519.519	7750.711	21339.887	2173.878	4081.825	4966.736	4399.625	2533.803	5336.405	5225.791	2399.691	2136.625	3174.848	4595.635	2032.316	4117.646	7239.480	8507.814	15051.228	8052.463	7658.437	6642.566	4272.390	8114.109	1193.171
8	25002.468	5431.544	34111.781	6502.722	11529.924	15024.291	15244.373	8159.065	3444.792	4782.189	10898.908	5966.273	7757.875	5742.753	3730.497	4497.630	5445.012	6317.888	6133.340	8423.851	19003.240	2476.491	4597.068	4756.111	4112.487	2705.456	5596.319	4802.248	2519.189	2634.674	3150.777	4190.433	2002.513	3207.803	7590.808	9360.630	15330.342	7454.403	5728.998	7371.299	4381.572	7734.635	989.775
9	24301.818	5197.994	30776.743	6493.552	13238.135	13752.805	15200.815	6076.601	4006.172	5060.443	9234.828	3634.498	7628.061	6669.216	4199.030	4572.710	6932.569	6690.135	6792.152	7842.698	19956.926	2692.274	4755.825	5214.615	4588.471	2489.386	5659.649	5046.974	2452.706	2250.391	3298.931	5405.180	2291.656	6108.696	8763.143	11330.475	14264.895	10420.919	7005.356	7064.102	5933.892	7934.035	920.886
10	35042.829	6005.246	39028.368	5845.343	11385.208	13144.715	18593.166	5787.171	3851.427	5452.177	8891.811	2907.770	7256.673	5848.495	4062.625	4952.695	6275.476	6776.964	5939.909	8078.827	17770.439	2372.181	4857.269	5202.006	4052.595	2595.701	5293.993	5428.965	2670.495	2516.036	3836.239	4863.286	2066.703	4603.659	8234.145	11719.916	17789.066	9989.926	5619.244	6513.325	5252.728	8253.044	1197.182
