 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
1	15549.564	4491.612	12637.209	5036.945	14389.551	50023.849	28902.611	12341.761	22462.073	19265.446	16239.038	1589.860	17041.419	6766.935	5674.551	12685.638	6821.668	13200.308	12213.953	6047.944	11454.557	3171.123	4119.078	8706.117	4099.879	8969.756	21349.630	49955.647	2943.877	5540.438	8303.207	12210.228	3857.732	6581.527	16828.215	12495.073	10261.302	17152.606	12145.178	9297.872	7121.128	12681.612	1608.639
2	15598.853	4565.833	12986.531	4813.138	15115.705	52281.404	29122.979	13812.410	24249.949	19129.328	13799.515	1678.122	18262.757	6974.694	5754.216	14175.201	7277.306	15564.752	11029.009	6437.959	13016.047	3677.769	4944.384	8636.768	4285.859	9535.434	22227.664	52208.904	3314.119	5018.604	7104.794	11781.241	4015.629	6420.192	14654.336	11237.341	9910.547	14945.199	11079.444	8466.549	5596.319	12797.727	1680.224
3	16211.242	4634.321	13318.086	5110.878	14590.146	50610.733	26048.428	13624.997	23702.611	17513.964	13153.312	1652.044	17703.956	7730.651	5337.837	13740.769	6875.256	15192.505	10628.392	6559.175	12346.059	3643.668	4298.468	8717.006	3945.993	10204.276	21214.945	51989.109	3056.784	4575.003	6421.624	11377.185	3763.165	5900.363	11361.137	8886.939	9028.788	11996.451	9269.789	7475.036	4907.991	12154.124	1639.886
4	16747.977	4542.048	13642.764	5605.489	15651.581	51310.524	27455.747	13480.568	24565.457	18368.786	12388.757	1714.802	18457.907	6850.898	5793.188	14470.076	7450.104	13059.032	10304.860	6896.175	12358.382	3141.320	4164.069	8625.306	4642.059	9679.576	21552.231	52965.147	3359.682	5591.160	6455.152	10017.149	4207.340	6380.073	14774.407	11744.274	12381.880	14525.382	10876.270	7832.381	6355.141	12692.320	1664.553
5	17192.438	4474.705	13253.896	5985.760	16564.862	52241.572	28216.576	13125.228	23774.826	19040.206	13625.283	1698.181	17372.688	7441.794	5604.915	14260.597	7309.401	11893.860	12080.127	6762.636	12240.030	2917.513	3928.800	8733.913	4175.818	9818.560	21667.143	52751.943	3305.522	4956.707	7625.482	10874.264	4273.537	6119.872	17410.227	12567.287	12179.852	16457.400	11059.958	7889.981	6433.947	12909.934	1681.083
6	16157.941	4971.321	13190.851	4977.339	14752.915	50305.542	29496.659	15404.276	23718.372	20674.197	14086.079	1987.038	18948.219	7351.526	6051.956	13865.997	7575.906	12546.368	12593.938	6793.872	12351.504	3472.016	3710.437	8865.447	4607.384	9960.696	21556.243	53190.387	3196.054	5382.541	7308.255	11559.726	4378.133	6703.317	14090.091	11684.668	13132.965	14124.192	10045.806	8104.618	6098.093	12901.778	1661.737
7	16131.863	4628.877	12832.646	5641.596	15004.232	50609.874	26655.659	14887.313	22876.159	19282.354	13637.032	1686.719	17820.015	7285.043	5549.322	13753.378	7398.523	11396.384	12206.789	7264.984	12745.530	3073.978	3333.892	8540.482	4207.054	9044.836	20580.491	52408.066	3422.727	5428.678	7355.538	11542.819	3989.551	5774.562	14724.545	10226.915	11160.828	14333.671	11032.734	8646.225	5964.554	12538.694	1635.900
8	16193.761	4755.252	13766.560	5845.916	15178.463	49549.871	28551.856	13845.365	23603.173	19522.781	13491.171	2048.936	16956.882	7044.043	5311.760	13804.386	7444.087	11967.794	13277.394	7101.929	12491.921	3702.127	4036.548	8491.766	4537.463	10143.238	21787.214	53729.702	3223.278	5193.409	8427.576	11725.934	4288.438	6353.422	14913.677	10467.915	12560.410	15421.183	10912.090	8927.918	6377.493	12853.027	1644.927
9	16793.254	5009.721	13863.992	4613.975	14025.327	52195.148	29917.336	15109.974	24285.197	18812.388	13324.104	1776.413	18307.174	7364.135	5082.508	14744.604	7644.968	11767.772	11941.144	7720.621	12826.341	3932.811	3681.208	8907.285	4152.893	10777.119	22933.472	53990.762	3461.126	5473.096	7253.521	10435.820	3935.677	6541.122	14879.290	11315.573	12687.358	13841.926	9804.805	7686.234	6574.936	12912.003	1706.445
10	16814.460	4381.858	13304.618	5372.798	13116.058	50800.152	29636.503	15765.347	24703.581	18931.025	12579.609	1910.239	17714.559	7351.526	5270.495	16200.066	7204.519	11305.830	12657.841	7208.531	12786.509	3692.384	3318.704	8644.792	4201.609	11300.672	22747.205	54553.288	3186.311	5506.910	7404.254	10878.849	4069.789	6254.271	17532.591	11780.094	12077.835	16150.776	11500.407	8192.593	7421.735	13059.297	1699.273
